"rank","name","rating","rank_change","rating_change"
"1","박정환","9,867","-","29"
"2","이세돌","9,834","-","24"
"3","박영훈","9,709","-","-21"
"4","김지석","9,687","1","56"
"5","강동윤","9,686","1","-16"
"6","이동훈","9,637","1","55"
"7","원성진","9,578","1","-15"
"8","신진서","9,560","-","-11"
"9","최철한","9,552","1","-3"
"10","안성준","9,549","1","-14"
"11","윤준상","9,501","-","-22"
"12","조한승","9,500","-","-5"
"13","이영구","9,497","3","24"
"14","이지현(남)","9,489","1","11"
"15","홍성지","9,487","-","11"
"16","변상일","9,483","3","5"
"17","김명훈","9,466","6","38"
"18","안국현","9,456","-","-7"
"18","김정현","9,456","1","-4"
"20","목진석","9,444","-","-15"
"21","백홍석","9,441","-","-3"
"22","허영호","9,435","-","-2"
"23","나 현","9,434","6","-32"
"24","신민준","9,429","2","9"
"25","한상훈","9,424","1","0"
"26","강유택","9,407","1","-16"
"26","진시영","9,407","2","0"
"28","민상연","9,397","1","-15"
"29","김승재","9,388","-","3"
"30","김현찬","9,385","1","0"
"31","박승화","9,361","4","16"
"32","박민규","9,358","2","12"
"33","이창호","9,355","1","-5"
"34","김기용","9,351","1","-8"
"35","윤찬희","9,350","4","-19"
"36","류민형","9,343","-","0"
"37","이태현","9,327","4","20"
"38","김세동","9,325","1","0"
"39","이호범","9,322","1","0"
"40","박진솔","9,312","2","-10"
"41","강승민","9,300","1","2"
"42","박정상","9,299","2","-14"
"43","한웅규","9,280","1","0"
"44","이원영","9,274","1","0"
"45","안조영","9,273","3","36"
"46","김동호","9,271","3","-11"
"47","류수항","9,246","1","-5"
"48","한태희","9,235","1","-8"
"49","이춘규","9,223","2","0"
"50","홍민표","9,219","-","-6"
"50","송태곤","9,219","1","-12"
"52","김주호","9,213","-","-8"
"53","김성진","9,204","-","0"
"54","고근태","9,198","1","0"
"55","안형준","9,193","1","0"
"56","홍기표","9,191","2","-10"
"57","김민호","9,170","-","-14"
"58","김형우","9,164","1","0"
"58","최 정","9,164","20","66"
"60","유창혁","9,161","1","8"
"60","한승주","9,161","-","0"
"62","온소진","9,157","4","-10"
"63","조훈현","9,147","1","1"
"64","송상훈","9,143","6","9"
"65","강병권","9,139","-","0"
"66","이창석","9,136","1","-3"
"67","박재근","9,135","1","0"
"67","유병용","9,135","6","11"
"67","조인선","9,135","1","0"
"70","이원도","9,134","7","-10"
"71","황재연","9,133","7","-8"
"72","최재영","9,132","4","28"
"73","송지훈","9,130","6","-8"
"74","김진휘","9,120","3","-11"
"75","박시열","9,114","3","-11"
"76","이정우","9,110","1","-6"
"77","이형진","9,104","3","-15"
"78","이희성","9,102","1","0"
"79","진동규","9,098","1","0"
"80","최기훈","9,097","-","0"
"81","백찬희","9,091","6","22"
"82","박준석","9,087","1","-6"
"83","이상헌","9,086","1","-6"
"84","박하민","9,085","4","22"
"84","이재웅","9,085","1","0"
"86","이현호","9,081","2","3"
"87","박영롱","9,075","4","23"
"88","신윤호","9,071","2","0"
"89","김수용","9,064","4","-8"
"90","오장욱","9,061","1","6"
"91","박경근","9,051","3","11"
"92","설현준","9,047","진 입",""
"93","이범진","9,046","3","-7"
"94","강창배","9,043","1","0"
"95","한종진","9,034","3","-17"
"96","최명훈","9,030","-","2"
"97","정두호","9,025","2","-13"
"98","박병규","9,022","-","0"
"99","박건호","9,017","2","-7"
"100","전영규","9,011","진 입",""
