"rank","name","rating","rank_change","rating_change"
"1","이세돌","15,314","-","-342"
"2","이창호","13,278","-","-405"
"3","박영훈","12,359","-","-255"
"4","목진석","12,008","-","-215"
"5","조한승","11,958","-","90"
"6","강동윤","11,623","1","82"
"7","원성진","11,572","1","-50"
"8","박정상","11,432","1","96"
"9","백홍석","11,351","1","27"
"10","한상훈","11,297","2","-228"
"11","이영구","11,120","-","-51"
"12","최철한","10,927","1","-6"
"13","온소진","10,915","1","-107"
"14","홍성지","10,900","-","22"
"15","김지석","10,794","2","-8"
"16","조훈현","10,792","1","-20"
"17","허영호","10,759","2","43"
"18","안조영","10,721","-","-49"
"19","윤준상","10,682","3","-123"
"20","최원용","10,680","4","90"
"21","홍민표","10,658","-","19"
"22","유창혁","10,617","2","-60"
"23","김승재","10,604","11","165"
"24","이정우","10,563","3","9"
"25","김기용","10,547","3","-72"
"26","송태곤","10,545","6","73"
"27","고근태","10,541","2","-32"
"28","김승준","10,521","2","-50"
"29","최명훈","10,515","2","41"
"30","박정환","10,514","7","-96"
"31","김주호","10,512","2","0"
"32","이성재","10,505","2","-3"
"33","배준희","10,465","5","-73"
"34","김형우","10,434","5","64"
"35","윤성현","10,428","2","-29"
"36","최기훈","10,412","8","93"
"37","이상훈小","10,408","6","83"
"38","박승화","10,397","1","-3"
"39","윤찬희","10,392","4","-27"
"40","조혜연","10,370","4","-35"
"41","이재웅","10,365","1","-4"
"42","진동규","10,358","4","-29"
"43","강유택","10,346","3","44"
"44","김일환","10,338","6","53"
"45","김수장","10,334","2","41"
"46","박병규","10,334","진 입",""
"47","김형환","10,329","진 입",""
"48","이희성","10,303","7","-42"
"49","옥득진","10,290","7","-55"
"50","홍장식","10,289","진 입",""
