"rank","name","rating","rank_change","rating_change"
"1","박정환","9,794","-","34"
"2","김지석","9,760","-","36"
"3","이세돌","9,721","-","35"
"4","박영훈","9,645","2","52"
"5","최철한","9,623","1","-8"
"6","강동윤","9,587","1","-7"
"7","백홍석","9,568","-","0"
"8","원성진","9,547","-","7"
"9","조한승","9,493","-","-46"
"10","윤준상","9,488","1","13"
"11","이영구","9,481","1","3"
"12","나현","9,444","2","3"
"13","이지현男","9,435","1","-17"
"14","목진석","9,421","1","-22"
"15","김승재","9,420","-","1"
"16","안성준","9,419","2","21"
"17","홍성지","9,417","1","6"
"18","허영호","9,393","1","0"
"19","이동훈","9,391","1","0"
"20","김정현","9,384","2","17"
"21","이창호","9,381","4","-17"
"22","변상일","9,368","1","-22"
"23","김세동","9,354","2","6"
"24","강유택","9,339","-","-20"
"25","안국현","9,334","2","-30"
"26","이원영","9,330","2","24"
"27","김기용","9,326","1","0"
"28","한웅규","9,287","1","-33"
"29","박정상","9,287","3","18"
"30","한상훈","9,285","1","-19"
"31","한태희","9,285","-","-3"
"32","안조영","9,272","2","-27"
"33","홍민표","9,254","-","0"
"34","류수항","9,253","-","2"
"35","김주호","9,250","9","30"
"36","신민준","9,242","4","10"
"37","박승화","9,238","2","-7"
"38","이호범","9,235","2","-5"
"39","송태곤","9,231","1","-6"
"40","안형준","9,230","1","-7"
"41","강병권","9,226","-","0"
"42","김성진","9,226","-","1"
"43","이춘규","9,225","3","8"
"44","진시영","9,222","1","0"
"45","이태현","9,217","8","-21"
"46","민상연","9,217","2","8"
"47","김형우","9,211","2","4"
"48","김현찬","9,208","3","10"
"49","강승민","9,206","2","-10"
"50","이원도","9,196","-","-8"
"51","온소진","9,195","6","-23"
"52","황재연","9,192","2","7"
"53","류민형","9,187","1","1"
"54","고근태","9,180","1","0"
"55","홍기표","9,171","3","17"
"56","김동호","9,166","-","-4"
"57","윤찬희","9,166","-","0"
"58","최기훈","9,164","5","-22"
"59","조인선","9,145","-","0"
"60","이희성","9,139","-","-4"
"61","박준석","9,135","3","21"
"62","이상헌","9,131","1","0"
"63","이형진","9,125","1","0"
"64","박진솔","9,117","1","0"
"65","조훈현","9,117","1","16"
"66","강창배","9,104","1","0"
"68","최명훈","9,095","-","0"
"67","진동규","9,095","-","0"
"69","정두호","9,093","-","0"
"70","박민규","9,088","-","2"
"72","유창혁","9,078","-","0"
"71","박시열","9,078","-","0"
"73","양우석","9,074","-","-3"
"74","이정우","9,067","-","0"
"75","이범진","9,062","-","0"
"76","전영규","9,060","-","0"
"77","이재웅","9,050","-","0"
"78","김기원","9,045","-","0"
"79","이현호","9,045","-","0"
"80","류재형","9,031","-","-3"
"81","주형욱","9,030","-","0"
"82","박병규","9,029","-","0"
"83","박승현","9,029","-","0"
"84","김승준","9,012","-","0"
"85","한종진","9,010","-","0"
"86","박영롱","9,009","-","0"
"87","박경근","8,999","-","0"
"88","이상훈小","8,986","-","0"
"89","서건우","8,981","1","0"
"90","안달훈","8,981","1","0"
"91","최홍윤","8,980","2","-6"
"92","강지성","8,980","-","0"
"93","김현섭","8,974","-","0"
"94","서봉수","8,969","-","-4"
"95","최원용","8,965","-","0"
"96","박정근","8,959","1","0"
"97","김원빈","8,958","1","0"
"98","김수용","8,952","1","0"
"99","박지은","8,944","3","-18"
"100","김누리","8,941","-","0"
