"rank","name","rating","rank_change","rating_change"
"1","박정환","9,972","-","-19"
"2","신진서","9,807","-","10"
"3","이세돌","9,710","-","11"
"4","김지석","9,681","-","-10"
"5","안성준","9,658","1","25"
"6","박영훈","9,650","-","17"
"7","최철한","9,647","2","-7"
"8","이동훈","9,602","1","-8"
"9","변상일","9,598","1","-15"
"10","나 현","9,583","3","36"
"11","이영구","9,579","-","16"
"12","원성진","9,554","-","3"
"13","이지현(남)","9,553","3","38"
"14","신민준","9,535","1","-1"
"15","안국현","9,530","4","46"
"16","김명훈","9,523","2","14"
"17","강동윤","9,518","7","-64"
"18","조한승","9,516","4","-23"
"19","홍성지","9,510","2","-1"
"20","윤준상","9,485","2","33"
"21","박진솔","9,468","1","8"
"21","강유택","9,468","-","10"
"23","허영호","9,427","-","12"
"24","한승주","9,406","1","12"
"25","김정현","9,388","2","-3"
"26","류민형","9,383","2","-15"
"27","강승민","9,381","5","23"
"28","이원영","9,380","3","15"
"29","김현찬","9,372","1","0"
"30","한태희","9,361","2","-29"
"31","백홍석","9,358","5","-34"
"32","목진석","9,356","3","-19"
"33","박민규","9,341","-","0"
"34","김승재","9,335","-","-5"
"35","박승화","9,333","1","0"
"36","안조영","9,330","4","19"
"37","민상연","9,316","2","0"
"38","진시영","9,314","1","-18"
"39","이태현","9,309","3","7"
"40","김세동","9,307","1","0"
"40","윤찬희","9,307","5","-29"
"42","송태곤","9,301","4","20"
"43","이창호","9,299","5","-32"
"44","김기용","9,295","1","0"
"45","류수항","9,289","-","3"
"46","송지훈","9,284","3","27"
"47","한상훈","9,270","3","-20"
"48","이호범","9,268","1","0"
"49","박창명","9,267","3","34"
"50","박정상","9,258","2","0"
"51","한웅규","9,244","-","-5"
"52","최 정","9,242","2","-14"
"53","이창석","9,234","1","8"
"54","홍기표","9,230","1","12"
"55","김주호","9,228","2","0"
"56","설현준","9,219","1","19"
"57","이원도","9,218","1","15"
"58","최재영","9,216","8","60"
"59","고근태","9,195","1","0"
"60","이춘규","9,187","-","0"
"61","안형준","9,186","-","0"
"62","송규상","9,185","3","-4"
"63","홍민표","9,178","1","0"
"64","김형우","9,167","-","7"
"65","김동호","9,164","2","-8"
"66","조훈현","9,144","1","0"
"67","온소진","9,143","1","0"
"68","조인선","9,141","1","0"
"69","김성진","9,138","4","-20"
"70","이형진","9,134","3","8"
"71","안정기","9,129","-","0"
"72","유창혁","9,125","2","0"
"73","박준석","9,123","2","-6"
"74","홍무진","9,121","2","0"
"75","최기훈","9,117","2","0"
"76","유병용","9,113","6","-25"
"77","박하민","9,112","2","-2"
"78","송상훈","9,111","1","-6"
"79","황재연","9,109","4","-15"
"80","박시열","9,107","1","0"
"81","김민호","9,106","1","4"
"82","박재근","9,101","4","23"
"83","박건호","9,096","3","-12"
"84","진동규","9,094","1","0"
"85","강병권","9,091","1","0"
"86","이정우","9,081","1","0"
"87","박영롱","9,077","-","0"
"88","이희성","9,074","-","0"
"88","이상헌","9,074","-","0"
"90","신윤호","9,071","-","0"
"91","김진휘","9,068","6","19"
"92","이범진","9,062","1","0"
"93","최명훈","9,058","1","0"
"94","박경근","9,053","1","0"
"94","백찬희","9,053","1","0"
"96","이재웅","9,052","1","0"
"97","김남훈","9,050","1","0"
"98","유재호","9,030","-","0"
"99","이현호","9,029","-","0"
"100","김수용","9,027","-","0"
