"rank","name","rating","rank_change","rating_change"
"1","박정환","9,956","-","39"
"2","이세돌","9,792","-","-46"
"3","신진서","9,708","3","58"
"4","박영훈","9,675","-","-12"
"5","김지석","9,673","2","-19"
"6","이동훈","9,648","1","3"
"7","강동윤","9,636","2","-35"
"8","안성준","9,597","-","-13"
"9","원성진","9,575","-","-27"
"10","변상일","9,563","-","16"
"11","최철한","9,557","-","23"
"12","이영구","9,527","1","3"
"13","조한승","9,512","1","-18"
"14","나 현","9,507","3","24"
"15","홍성지","9,490","-","-16"
"16","김정현","9,480","2","1"
"17","윤준상","9,477","3","-30"
"18","목진석","9,467","2","-20"
"19","이지현(남)","9,461","2","17"
"20","백홍석","9,459","1","-8"
"21","허영호","9,444","1","-18"
"22","신민준","9,440","2","31"
"23","한상훈","9,424","1","0"
"24","강유택","9,413","2","23"
"25","진시영","9,407","-","0"
"26","이창호","9,388","2","6"
"26","박민규","9,388","3","10"
"28","김현찬","9,385","1","0"
"29","김명훈","9,374","4","16"
"30","박진솔","9,369","1","-2"
"31","안국현","9,359","2","-19"
"32","강승민","9,349","13","83"
"33","민상연","9,342","10","-75"
"34","김세동","9,325","2","0"
"35","박승화","9,323","3","-45"
"36","김기용","9,320","1","10"
"37","김승재","9,319","3","-25"
"38","류민형","9,316","3","-12"
"39","이원영","9,315","2","24"
"40","류수항","9,310","7","52"
"41","한태희","9,295","2","15"
"42","이호범","9,284","2","-8"
"43","박정상","9,283","4","-18"
"44","한웅규","9,271","-","0"
"45","이태현","9,270","3","-14"
"46","윤찬희","9,258","8","-45"
"47","김주호","9,248","2","33"
"48","안조영","9,234","-","-16"
"49","홍기표","9,233","-","18"
"50","김동호","9,224","4","-38"
"51","송태곤","9,219","1","11"
"52","이춘규","9,206","1","-7"
"53","김성진","9,204","-","0"
"54","한승주","9,199","5","36"
"55","안형준","9,193","-","0"
"56","고근태","9,177","-","2"
"57","최 정","9,171","-","5"
"57","송지훈","9,171","7","25"
"59","홍민표","9,169","5","-32"
"60","김형우","9,164","2","0"
"61","이창석","9,156","7","20"
"62","유병용","9,155","1","-6"
"63","조훈현","9,144","2","0"
"64","이원도","9,141","8","12"
"64","송상훈","9,141","2","-12"
"64","최재영","9,141","5","-22"
"67","황재연","9,140","2","-4"
"68","강병권","9,139","1","0"
"69","조인선","9,135","2","0"
"70","온소진","9,128","7","-19"
"71","박시열","9,127","3","21"
"72","유창혁","9,123","4","-13"
"73","이형진","9,117","7","29"
"74","김민호","9,116","6","-20"
"75","최기훈","9,102","3","5"
"76","진동규","9,098","1","0"
"77","이정우","9,096","4","-14"
"78","이희성","9,095","2","-7"
"79","김진휘","9,094","4","-11"
"80","이상헌","9,092","7","14"
"81","박영롱","9,090","1","3"
"82","박하민","9,089","7","13"
"83","박준석","9,088","4","-1"
"84","김수용","9,086","4","-2"
"85","박재근","9,080","2","-5"
"86","이재웅","9,078","3","-7"
"87","이현호","9,073","-","-5"
"88","신윤호","9,071","2","3"
"89","홍무진","9,064","4","31"
"90","박경근","9,063","5","-21"
"91","오장욱","9,062","-","0"
"92","백찬희","9,058","6","-22"
"93","이범진","9,042","1","-4"
"94","최명훈","9,025","4","6"
"95","한종진","9,014","-","-14"
"96","박병규","9,009","1","-13"
"97","설현준","9,008","1","-17"
"98","이상훈(小)","9,006","진 입",""
"98","전영규","9,006","2","-5"
"98","강창배","9,006","4","-25"
