"rank","name","rating","rank_change","rating_change"
"1","박정환","9,863","-","37"
"2","김지석","9,812","-","5"
"3","이세돌","9,742","-","-60"
"4","최철한","9,727","-","20"
"5","박영훈","9,632","-","14"
"6","강동윤","9,566","-","-5"
"7","백홍석","9,553","-","0"
"8","원성진","9,524","-","-21"
"9","이지현(남)","9,481","1","3"
"10","이영구","9,478","1","-6"
"11","윤준상","9,469","-","0"
"12","목진석","9,467","1","9"
"13","조한승","9,460","1","0"
"14","김정현","9,450","4","40"
"15","나 현","9,442","-","-2"
"16","이창호","9,423","2","-29"
"17","홍성지","9,418","-","5"
"18","안성준","9,408","2","-17"
"19","허영호","9,405","-","1"
"20","김승재","9,396","-","1"
"21","변상일","9,389","-","-3"
"22","강유택","9,368","-","12"
"23","안국현","9,346","1","7"
"24","이동훈","9,335","1","-6"
"25","김세동","9,324","-","-14"
"26","이원영","9,323","-","1"
"27","김기용","9,318","-","0"
"28","한상훈","9,307","-","3"
"29","류수항","9,294","-","12"
"30","김주호","9,280","-","0"
"31","안조영","9,279","2","3"
"32","한태희","9,278","1","0"
"33","홍민표","9,277","1","0"
"34","이춘규","9,266","-","0"
"35","한웅규","9,265","-","0"
"36","김성진","9,262","-","12"
"37","박승화","9,240","1","1"
"37","박정상","9,240","-","0"
"39","송태곤","9,229","-","0"
"40","신민준","9,226","4","13"
"41","한승주","9,225","1","0"
"42","안형준","9,223","-","1"
"43","김형우","9,217","-","1"
"44","김현찬","9,215","3","-8"
"45","진시영","9,213","1","0"
"46","이호범","9,210","-","-2"
"47","강병권","9,207","1","1"
"48","신진서","9,204","진 입",""
"49","강승민","9,192","-","0"
"50","민상연","9,188","-","1"
"51","이태현","9,184","2","5"
"52","고근태","9,183","1","0"
"52","온소진","9,183","6","-29"
"54","이원도","9,182","2","1"
"55","류민형","9,171","1","0"
"56","황재연","9,163","-","1"
"57","김진휘","9,161","2","-6"
"58","윤찬희","9,158","1","0"
"59","이희성","9,156","-","16"
"60","김동호","9,146","2","1"
"61","박준석","9,141","2","1"
"62","최기훈","9,140","3","0"
"63","이형진","9,139","1","1"
"64","조인선","9,138","2","0"
"65","박진솔","9,137","1","1"
"66","조훈현","9,136","1","19"
"67","홍기표","9,124","2","1"
"68","이상헌","9,120","2","1"
"69","진동규","9,099","1","0"
"70","강창배","9,097","1","1"
"71","최명훈","9,087","-","0"
"72","정두호","9,086","-","0"
"73","전영규","9,080","-","0"
"74","이정우","9,077","-","0"
"75","박시열","9,076","-","1"
"76","박민규","9,072","-","0"
"77","이재웅","9,070","-","1"
"78","유창혁","9,066","8","-22"
"79","이범진","9,062","1","0"
"80","양우석","9,057","1","-3"
"81","박병규","9,050","1","1"
"82","이현호","9,046","1","0"
"83","주형욱","9,034","1","0"
"84","박승현","9,032","1","0"
"84","김기원","9,032","-","1"
"86","류재형","9,018","1","0"
"87","김승준","9,008","1","0"
"88","박영롱","9,004","1","0"
"89","한종진","9,002","1","0"
"89","강지성","9,002","1","12"
"91","박경근","8,997","2","0"
"92","최홍윤","8,988","1","0"
"92","이상훈(小)","8,988","1","0"
"94","안달훈","8,974","-","1"
"95","박정근","8,974","2","-2"
"96","김현섭","8,971","1","1"
"97","서건우","8,968","1","0"
"98","서봉수","8,965","1","0"
"99","최 정","8,961","1","1"
"100","최원용","8,957","1","0"
"리스트가 없습니다.","","","",""
