"rank","name","rating","rank_change","rating_change"
"1","박정환","9,943","-","-13"
"2","이세돌","9,814","-","22"
"3","박영훈","9,699","1","24"
"4","신진서","9,698","1","-10"
"5","강동윤","9,667","2","31"
"6","김지석","9,644","1","-29"
"7","안성준","9,631","1","34"
"8","원성진","9,603","1","28"
"9","이동훈","9,602","3","-46"
"10","최철한","9,592","1","35"
"11","변상일","9,568","1","5"
"12","나 현","9,542","2","35"
"13","조한승","9,529","-","17"
"13","이영구","9,529","1","2"
"15","이지현(남)","9,484","4","23"
"16","홍성지","9,476","1","-14"
"17","백홍석","9,467","3","8"
"18","김정현","9,466","2","-14"
"19","윤준상","9,461","2","-16"
"20","허영호","9,458","1","14"
"21","목진석","9,449","3","-18"
"22","신민준","9,438","-","-2"
"23","한상훈","9,424","-","0"
"24","강유택","9,414","-","1"
"25","진시영","9,407","-","0"
"26","안국현","9,396","5","37"
"27","김현찬","9,385","1","0"
"28","김명훈","9,372","1","-2"
"29","이창호","9,365","3","-23"
"30","박민규","9,362","4","-26"
"31","박진솔","9,355","1","-14"
"32","김승재","9,339","5","20"
"33","김세동","9,325","1","0"
"34","이호범","9,324","8","40"
"35","박승화","9,317","-","-6"
"36","민상연","9,314","3","-28"
"37","김기용","9,311","1","-9"
"38","강승민","9,307","6","-42"
"39","한태희","9,305","2","10"
"39","류민형","9,305","1","-11"
"41","이태현","9,297","4","27"
"42","이원영","9,291","3","-24"
"43","박정상","9,276","-","-7"
"44","윤찬희","9,272","2","14"
"45","한웅규","9,271","1","0"
"46","류수항","9,270","6","-40"
"47","송태곤","9,258","4","39"
"48","김주호","9,248","1","0"
"49","김동호","9,243","1","19"
"50","안조영","9,241","2","7"
"51","한승주","9,236","3","37"
"52","홍기표","9,224","3","-9"
"53","송지훈","9,212","4","41"
"54","최 정","9,210","3","39"
"55","이춘규","9,206","3","0"
"56","김성진","9,204","3","0"
"57","안형준","9,193","2","0"
"58","이창석","9,185","3","29"
"59","홍민표","9,172","-","3"
"60","최재영","9,169","4","28"
"61","고근태","9,168","5","-9"
"62","김형우","9,164","2","0"
"63","유병용","9,154","1","-1"
"64","송상훈","9,150","-","9"
"65","조훈현","9,144","2","0"
"66","이원도","9,141","2","0"
"67","강병권","9,139","1","0"
"68","조인선","9,135","1","0"
"69","온소진","9,128","1","0"
"70","박시열","9,127","1","0"
"71","황재연","9,126","4","-14"
"72","이형진","9,123","1","6"
"72","유창혁","9,123","-","0"
"74","김민호","9,121","-","5"
"75","최기훈","9,102","-","0"
"76","진동규","9,098","-","0"
"77","이정우","9,096","-","0"
"78","이희성","9,095","-","0"
"78","박하민","9,095","4","6"
"80","이상헌","9,092","-","0"
"81","김진휘","9,089","2","-5"
"82","박준석","9,088","1","0"
"83","박영롱","9,084","2","-6"
"84","이재웅","9,078","2","0"
"85","이현호","9,073","2","0"
"86","신윤호","9,071","2","0"
"87","박경근","9,068","3","5"
"88","김수용","9,065","4","-21"
"89","박재근","9,062","4","-18"
"90","백찬희","9,058","2","0"
"91","홍무진","9,052","2","-12"
"92","이범진","9,042","1","0"
"93","최명훈","9,025","1","0"
"94","오장욱","9,024","3","-38"
"95","박건호","9,022","진 입",""
"96","한종진","9,014","1","0"
"97","박병규","9,009","1","0"
"98","설현준","9,008","1","0"
"99","이상훈(小)","9,006","1","0"
"99","전영규","9,006","1","0"
"99","강창배","9,006","1","0"
