"rank","name","rating","rank_change","rating_change"
"1","박정환","9,925","-","11"
"2","김지석","9,893","-","28"
"3","이세돌","9,782","-","6"
"4","강동윤","9,685","-","-22"
"5","박영훈","9,649","-","7"
"6","최철한","9,603","-","-29"
"7","나 현","9,557","1","33"
"8","김승재","9,540","1","20"
"8","백홍석","9,540","1","0"
"10","원성진","9,509","-","0"
"11","이영구","9,476","2","0"
"12","조한승","9,473","-","-5"
"13","윤준상","9,463","2","0"
"14","이동훈","9,460","2","8"
"15","김정현","9,446","2","3"
"16","이원영","9,443","2","2"
"16","이지현(남)","9,443","5","-42"
"18","안국현","9,436","1","0"
"19","안성준","9,434","5","-31"
"20","홍성지","9,399","1","0"
"21","한상훈","9,385","2","0"
"22","김현찬","9,383","4","34"
"23","허영호","9,380","1","0"
"24","강유택","9,374","4","-32"
"25","변상일","9,360","3","-28"
"26","박승화","9,359","1","2"
"27","목진석","9,349","1","0"
"28","진시영","9,343","2","12"
"29","이창호","9,342","1","0"
"30","강승민","9,329","7","52"
"31","김세동","9,309","-","-2"
"32","신진서","9,300","4","-42"
"33","김주호","9,290","1","0"
"34","박정상","9,289","1","0"
"35","민상연","9,286","2","-10"
"36","한승주","9,283","4","-17"
"37","박민규","9,279","1","3"
"38","송태곤","9,278","2","0"
"39","김동호","9,274","2","9"
"40","김기용","9,272","1","0"
"41","이태현","9,267","7","32"
"42","안형준","9,265","2","-5"
"43","홍민표","9,256","1","-5"
"44","이춘규","9,248","1","0"
"45","윤찬희","9,243","1","5"
"46","한웅규","9,237","1","0"
"47","류민형","9,236","3","-7"
"48","류수항","9,231","-","-4"
"49","김성진","9,225","1","-9"
"50","한태희","9,223","5","-17"
"51","안조영","9,221","-","-12"
"52","박진솔","9,218","3","8"
"52","신민준","9,218","2","4"
"54","이호범","9,216","2","-12"
"55","황재연","9,209","2","-12"
"56","김진휘","9,194","-","0"
"57","송상훈","9,192","-","4"
"58","고근태","9,182","1","5"
"59","박준석","9,177","3","7"
"60","온소진","9,174","-","0"
"61","이원도","9,172","-","0"
"62","김형우","9,170","4","-12"
"63","박시열","9,167","-","0"
"64","김민호","9,160","진 입",""
"64","강병권","9,160","-","0"
"66","이상헌","9,146","1","0"
"67","조인선","9,143","-","6"
"68","홍기표","9,140","3","-6"
"69","이형진","9,136","1","9"
"70","진동규","9,120","1","0"
"71","이희성","9,119","1","14"
"72","조훈현","9,117","1","9"
"73","이정우","9,111","3","0"
"74","이재웅","9,100","1","0"
"75","최기훈","9,097","1","0"
"76","유창혁","9,096","1","0"
"77","강창배","9,076","1","0"
"78","이현호","9,068","-","0"
"79","신윤호","9,066","2","-9"
"80","이범진","9,062","1","0"
"81","최명훈","9,059","1","0"
"82","박병규","9,056","1","0"
"83","정두호","9,050","1","0"
"84","전영규","9,031","1","0"
"85","한종진","9,025","-","0"
"86","최 정","9,021","2","-7"
"87","박영롱","9,020","-","0"
"88","양우석","9,015","2","-6"
"89","강지성","9,008","1","0"
"90","주형욱","8,997","1","0"
"91","김수용","8,993","1","0"
"92","박승현","8,992","1","0"
"93","박경근","8,991","1","0"
"94","김승준","8,985","1","0"
"94","이상훈(小)","8,985","1","0"
"96","서봉수","8,982","1","11"
"97","류재형","8,981","2","0"
"98","안달훈","8,971","1","0"
"99","김혜민","8,967","-","0"
"99","최홍윤","8,967","3","-6"
