"rank","name","rating","rank_change","rating_change"
"1","신진서","10,238","-","3"
"2","박정환","9,986","-","10"
"3","변상일","9,827","-","23"
"4","이동훈","9,676","2","9"
"5","신민준","9,675","1","-21"
"6","강동윤","9,674","1","6"
"7","안성준","9,658","1","0"
"8","김지석","9,657","1","-4"
"9","원성진","9,651","-","8"
"10","이지현(남)","9,568","-","-6"
"11","이창석","9,549","-","-22"
"12","최철한","9,538","-","18"
"13","안국현","9,513","-","1"
"14","김명훈","9,510","1","7"
"15","이영구","9,505","1","0"
"16","강승민","9,477","3","18"
"17","심재익","9,472","1","-4"
"18","홍성지","9,468","4","16"
"19","나 현","9,460","4","11"
"20","설현준","9,448","4","-34"
"21","백홍석","9,446","5","12"
"22","김정현","9,445","1","-10"
"23","이원영","9,442","6","-36"
"24","박민규","9,433","2","-1"
"25","박영훈","9,431","3","2"
"26","박하민","9,428","6","-30"
"27","박건호","9,427","10","30"
"28","최 정","9,426","3","12"
"29","박진솔","9,424","3","15"
"30","조한승","9,423","1","0"
"31","강유택","9,415","1","0"
"32","한승주","9,410","7","-27"
"33","안정기","9,403","11","32"
"34","김승재","9,401","-","0"
"35","박상진","9,397","-","-2"
"36","한상훈","9,396","3","-11"
"37","문유빈","9,395","6","22"
"38","허영호","9,391","2","-7"
"39","윤찬희","9,389","15","-51"
"40","김세동","9,387","2","3"
"41","박승화","9,385","2","4"
"42","윤준상","9,380","1","5"
"43","이원도","9,377","1","3"
"44","최재영","9,361","1","0"
"45","홍기표","9,358","1","0"
"46","김형우","9,353","6","-24"
"47","송지훈","9,343","2","0"
"48","백현우","9,342","-","-6"
"49","송규상","9,337","1","13"
"50","홍무진","9,328","3","36"
"51","박재근","9,322","4","-27"
"52","한웅규","9,302","-","2"
"53","박종훈","9,291","2","-20"
"53","금지우","9,291","1","0"
"55","진시영","9,281","-","2"
"56","이태현","9,275","5","44"
"57","한태희","9,269","1","0"
"58","이재성","9,267","4","42"
"59","정서준","9,263","2","0"
"60","이창호","9,258","2","-4"
"61","류수항","9,249","2","0"
"62","한상조","9,229","2","-10"
"62","백찬희","9,229","2","20"
"64","박영롱","9,197","3","0"
"65","송태곤","9,196","4","0"
"66","민상연","9,193","5","0"
"67","김진휘","9,189","2","-17"
"68","고근태","9,186","5","-29"
"69","조훈현","9,184","4","0"
"70","위태웅","9,180","4","6"
"71","류민형","9,176","1","-19"
"72","김기용","9,173","3","0"
"73","김상천","9,172","8","23"
"74","최광호","9,163","8","-38"
"75","한우진","9,161","14","52"
"75","강지훈","9,161","3","7"
"77","김희수","9,160","9","30"
"78","안형준","9,154","-","0"
"79","이호승","9,153","2","-4"
"80","안조영","9,152","3","6"
"80","박현수","9,152","13","69"
"82","김주호","9,147","-","0"
"83","최명훈","9,146","-","0"
"83","현유빈","9,146","16","-51"
"85","최현재","9,139","9","-30"
"86","이현준","9,135","6","-17"
"86","유병용","9,135","14","-50"
"88","신재원","9,132","진 입",""
"89","황재연","9,124","2","5"
"90","이호범","9,115","2","0"
"91","박진영","9,106","-","6"
"92","이춘규","9,101","2","0"
"93","허 진","9,095","8","-41"
"94","김현찬","9,093","2","9"
"95","강병권","9,085","3","15"
"96","조완규","9,083","1","10"
"97","문민종","9,082","3","3"
"98","오유진","9,080","3","7"
"99","이형진","9,065","4","-8"
"99","이희성","9,065","진 입",""
