"rank","name","rating","rank_change","rating_change"
"1","이세돌","9,734","-","0"
"2","박정환","9,699","-","0"
"3","최철한","9,667","-","0"
"4","강동윤","9,627","-","0"
"5","원성진","9,616","-","0"
"6","김지석","9,591","-","0"
"7","조한승","9,560","-","0"
"8","박영훈","9,553","-","0"
"9","이영구","9,501","-","0"
"10","허영호","9,488","1","0"
"10","이창호","9,488","-","0"
"12","백홍석","9,468","-","1"
"13","윤준상","9,463","-","0"
"14","목진석","9,427","-","0"
"15","강유택","9,418","-","0"
"16","나 현","9,390","-","0"
"17","박정상","9,369","-","0"
"18","김기용","9,356","-","0"
"19","김승재","9,347","-","0"
"20","안국현","9,344","-","-2"
"20","이지현(남)","9,344","1","0"
"22","김정현","9,331","-","0"
"23","홍성지","9,296","-","0"
"24","이원영","9,288","-","0"
"24","한웅규","9,288","1","0"
"26","한상훈","9,275","-","0"
"27","김동호","9,267","-","0"
"28","안조영","9,261","-","0"
"29","홍민표","9,258","-","0"
"30","진시영","9,254","-","0"
"31","김기원","9,226","-","0"
"32","한태희","9,219","-","0"
"33","고근태","9,200","-","0"
"34","윤찬희","9,196","-","0"
"35","이원도","9,195","2","2"
"35","김형우","9,195","-","0"
"37","홍기표","9,194","1","0"
"38","안성준","9,192","-","0"
"39","김주호","9,183","-","0"
"40","박승화","9,182","-","0"
"41","조훈현","9,161","-","0"
"42","안형준","9,160","-","0"
"43","온소진","9,155","-","0"
"44","이태현","9,147","-","0"
"45","김승준","9,144","-","0"
"46","이형진","9,125","-","0"
"47","이춘규","9,120","-","0"
"48","강창배","9,114","-","0"
"49","유창혁","9,113","-","0"
"50","송태곤","9,105","-","0"
"51","김세동","9,100","-","0"
"52","전영규","9,095","-","0"
"53","박시열","9,091","-","0"
"53","이현호","9,091","1","0"
"55","이호범","9,084","-","0"
"56","박승현","9,077","-","0"
"56","이희성","9,077","1","0"
"58","이정우","9,075","-","0"
"59","박진솔","9,074","-","0"
"60","진동규","9,067","-","0"
"61","서건우","9,060","-","0"
"62","최기훈","9,048","-","0"
"63","주형욱","9,037","-","0"
"64","류민형","9,029","-","0"
"65","한종진","9,023","-","0"
"66","최명훈","9,022","-","0"
"67","박지은","9,007","1","0"
"67","류동완","9,007","-","0"
"69","이재웅","9,006","-","0"
"70","박정근","9,001","-","0"
"71","류재형","8,977","-","0"
"72","허 진","8,976","-","0"
"73","안달훈","8,974","-","0"
"74","박병규","8,969","-","0"
"75","김수용","8,968","-","0"
"77","강지성","8,963","-","0"
"78","최원용","8,962","-","0"
"79","유재호","8,956","-","0"
"80","염정훈","8,954","-","0"
"81","이상훈(小)","8,938","1","0"
"81","배준희","8,938","-","0"
"83","박승철","8,929","-","0"
"84","윤성현","8,916","1","2"
"85","백대현","8,915","1","0"
"86","김영삼","8,896","-","0"
"87","김형환","8,895","-","0"
"88","김현섭","8,894","-","0"
"89","김성룡","8,880","-","0"
"90","윤현석","8,875","-","0"
"91","이성재","8,874","-","0"
"92","옥득진","8,871","-","0"
"93","이상훈(大)","8,864","-","0"
"94","서봉수","8,863","-","0"
"94","안영길","8,863","1","0"
"96","이용수","8,858","-","0"
"97","조혜연","8,846","-","0"
"98","서중휘","8,842","-","0"
"99","윤 혁","8,837","-","0"
"100","최규병","8,818","-","0"
