"rank","name","rating","rank_change","rating_change"
"1","박정환","9,872","-","13"
"2","신진서","9,754","1","30"
"3","이세돌","9,722","1","-11"
"4","안성준","9,655","1","2"
"5","최철한","9,651","4","33"
"6","박영훈","9,643","-","-9"
"7","김지석","9,640","3","-42"
"8","이동훈","9,613","-","-15"
"9","강동윤","9,607","2","-24"
"10","원성진","9,590","-","-11"
"11","이영구","9,576","1","11"
"12","변상일","9,561","1","-5"
"13","나 현","9,544","-","-18"
"14","이지현(남)","9,540","-","0"
"15","조한승","9,527","1","-13"
"16","강유택","9,501","-","32"
"17","신민준","9,469","1","0"
"18","홍성지","9,454","-","0"
"19","김정현","9,437","1","0"
"20","백홍석","9,435","1","-6"
"21","목진석","9,432","-","0"
"22","김명훈","9,427","-","-2"
"23","한상훈","9,424","-","0"
"24","윤준상","9,408","-","0"
"25","진시영","9,407","-","0"
"26","허영호","9,393","-","-10"
"27","안국현","9,387","1","-5"
"28","김현찬","9,385","2","0"
"29","박진솔","9,372","-","-14"
"30","김승재","9,368","3","-28"
"31","김기용","9,363","1","28"
"32","박민규","9,346","5","29"
"33","강승민","9,345","2","1"
"34","한승주","9,344","4","30"
"35","김세동","9,325","-","0"
"36","박승화","9,320","-","0"
"37","민상연","9,316","3","-10"
"38","이창호","9,315","5","-15"
"39","윤찬희","9,313","-","0"
"40","한태희","9,304","-","0"
"41","류민형","9,300","-","0"
"42","이원영","9,292","-","0"
"43","이태현","9,274","-","-12"
"44","한웅규","9,271","-","0"
"45","안조영","9,265","-","0"
"46","이호범","9,263","-","0"
"47","류수항","9,254","-","0"
"48","송지훈","9,243","-","0"
"49","김주호","9,242","-","0"
"50","송태곤","9,239","-","0"
"51","최재영","9,234","-","0"
"52","박정상","9,215","-","-7"
"53","홍기표","9,209","-","0"
"54","이춘규","9,206","-","0"
"55","김성진","9,204","-","0"
"56","안형준","9,193","-","0"
"57","김동호","9,189","1","0"
"58","최 정","9,181","1","-10"
"59","고근태","9,175","-","0"
"60","홍민표","9,173","-","0"
"61","유병용","9,171","-","0"
"62","김형우","9,164","-","0"
"63","조훈현","9,144","-","0"
"64","이원도","9,141","-","0"
"64","이창석","9,141","-","0"
"66","강병권","9,139","-","0"
"67","조인선","9,135","-","0"
"68","박시열","9,133","-","0"
"69","김민호","9,132","-","0"
"70","온소진","9,128","-","0"
"71","송상훈","9,126","-","0"
"72","유창혁","9,125","-","0"
"73","황재연","9,115","-","0"
"74","이형진","9,112","-","0"
"75","안정기","9,111","-","0"
"76","최기훈","9,102","-","0"
"77","진동규","9,098","-","0"
"77","박하민","9,098","-","0"
"79","이정우","9,096","-","0"
"80","이희성","9,095","-","0"
"81","이상헌","9,092","-","0"
"82","김진휘","9,089","-","0"
"83","박준석","9,088","-","0"
"84","박영롱","9,086","-","0"
"85","이재웅","9,078","-","0"
"86","이현호","9,073","-","0"
"87","신윤호","9,071","-","0"
"88","박재근","9,063","-","0"
"89","김수용","9,061","-","0"
"90","박경근","9,060","-","0"
"91","백찬희","9,058","-","0"
"92","홍무진","9,057","-","0"
"93","이범진","9,042","-","0"
"94","최명훈","9,025","-","0"
"95","박건호","9,022","-","0"
"96","오장욱","9,015","-","0"
"96","이상훈(小)","9,015","-","0"
"98","한종진","9,014","-","0"
"99","박병규","9,009","-","0"
"100","설현준","9,008","-","0"
