"rank","name","rating","rank_change","rating_change"
"1","박정환","10,065","-","29"
"2","신진서","9,874","1","41"
"3","김지석","9,835","1","-3"
"4","변상일","9,725","1","22"
"5","이세돌","9,676","1","-43"
"6","박영훈","9,641","-","-12"
"7","신민준","9,631","1","20"
"8","나 현","9,614","1","1"
"9","최철한","9,611","2","35"
"10","강동윤","9,607","3","41"
"11","이영구","9,605","-","29"
"12","안성준","9,603","3","0"
"13","이동훈","9,564","3","-20"
"14","조한승","9,550","-","-9"
"15","김명훈","9,512","1","-9"
"16","원성진","9,506","1","-11"
"17","윤준상","9,504","2","16"
"18","이원영","9,497","3","38"
"19","박진솔","9,496","1","0"
"20","홍성지","9,484","-","12"
"21","이지현(남)","9,481","6","-42"
"22","허영호","9,464","1","12"
"23","강유택","9,454","1","0"
"24","김승재","9,441","-","34"
"25","강승민","9,415","-","9"
"26","안국현","9,392","3","21"
"27","김정현","9,391","-","0"
"28","송지훈","9,368","-","-12"
"29","한승주","9,367","4","20"
"30","류민형","9,351","1","-18"
"31","이창호","9,345","4","9"
"32","박민규","9,342","-","-13"
"33","백홍석","9,339","3","-31"
"34","윤찬희","9,338","2","18"
"35","설현준","9,337","10","47"
"36","최 정","9,328","8","35"
"37","정서준","9,325","11","-68"
"38","이창석","9,320","1","1"
"39","민상연","9,316","-","0"
"40","김세동","9,302","11","35"
"41","박승화","9,300","1","0"
"42","목진석","9,298","1","-7"
"42","송태곤","9,298","4","16"
"44","한상훈","9,297","3","17"
"44","한태희","9,297","10","-45"
"46","홍기표","9,295","9","-24"
"47","류수항","9,271","7","-38"
"48","안조영","9,268","2","0"
"49","최재영","9,265","1","-11"
"50","이태현","9,263","2","0"
"51","김현찬","9,259","8","-40"
"52","진시영","9,249","3","-22"
"53","안형준","9,233","1","-6"
"54","이호범","9,228","1","0"
"55","김기용","9,225","2","-30"
"56","박하민","9,223","13","72"
"57","박정상","9,221","1","0"
"58","한웅규","9,217","2","9"
"59","김주호","9,216","2","0"
"60","박창명","9,214","2","0"
"61","이원도","9,212","2","0"
"62","이춘규","9,208","-","6"
"63","고근태","9,203","2","0"
"64","안정기","9,182","1","-10"
"65","온소진","9,181","-","0"
"66","김형우","9,170","1","-8"
"67","박건호","9,157","1","-23"
"68","위태웅","9,156","4","-28"
"68","홍민표","9,156","-","0"
"70","김성진","9,155","5","17"
"71","송규상","9,153","2","8"
"72","유병용","9,147","-","1"
"73","박재근","9,146","5","19"
"74","조인선","9,144","3","-5"
"74","조훈현","9,144","-","0"
"76","김동호","9,143","7","-8"
"77","심재익","9,138","2","0"
"78","이형진","9,132","1","2"
"79","유창혁","9,125","-","0"
"80","박준석","9,117","-","0"
"81","홍무진","9,114","-","0"
"82","김민호","9,106","1","0"
"83","송상훈","9,101","1","0"
"83","김진휘","9,101","1","-8"
"85","이정우","9,092","-","-7"
"86","최기훈","9,091","1","-8"
"87","강병권","9,088","-","0"
"88","진동규","9,086","-","0"
"89","이상헌","9,079","-","-6"
"90","황재연","9,070","1","0"
"91","박영롱","9,066","-","-4"
"92","백찬희","9,061","2","-10"
"93","이재웅","9,056","-","0"
"94","이범진","9,053","-","0"
"94","박시열","9,053","-","0"
"96","최명훈","9,051","-","0"
"97","이희성","9,048","-","0"
"98","오유진","9,047","진 입",""
"99","신윤호","9,042","-","0"
"100","김남훈","9,041","-","0"
