"rank","name","rating","rank_change","rating_change"
"1","이세돌","9,605","-","-34"
"2","이창호","9,559","-","-50"
"3","강동윤","9,543","-","-5"
"4","박영훈","9,540","-","-8"
"5","김지석","9,493","3","51"
"6","윤준상","9,487","3","57"
"7","최철한","9,487","2","-1"
"8","목진석","9,468","2","-1"
"9","원성진","9,410","3","8"
"10","박정상","9,403","-","-9"
"11","이영구","9,403","-","-8"
"12","허영호","9,401","2","31"
"13","조한승","9,390","6","-60"
"14","백홍석","9,348","1","-14"
"15","안조영","9,347","2","6"
"16","박정환","9,343","-","-2"
"17","홍성지","9,341","1","22"
"18","한상훈","9,338","5","-33"
"19","김승재","9,331","3","100"
"20","한웅규","9,269","3","42"
"21","홍민표","9,266","-","23"
"22","강유택","9,262","3","-37"
"23","조훈현","9,248","1","22"
"24","이희성","9,218","6","60"
"25","김형우","9,209","-","2"
"26","안형준","9,208","6","-38"
"27","이춘규","9,202","1","10"
"28","류동완","9,198","2","-6"
"29","이원도","9,192","2","-3"
"30","김주호","9,163","1","20"
"31","송태곤","9,140","7","55"
"32","온소진","9,129","2","8"
"33","윤찬희","9,127","2","12"
"34","최명훈","9,127","5","-48"
"35","박승화","9,119","2","-6"
"36","이태현","9,117","-","9"
"37","고근태","9,115","5","-27"
"38","진동규","9,107","5","40"
"39","진시영","9,095","-","15"
"40","김승준","9,076","2","6"
"41","이현호","9,073","-","0"
"42","서건우","9,071","2","27"
"43","전영규","9,063","2","25"
"44","유창혁","9,059","7","-29"
"45","최원용","9,057","5","-18"
"46","윤성현","9,035","2","20"
"47","김기용","9,021","-","3"
"48","박승현","9,020","진 입",""
"49","이재웅","9,004","-","-7"
"50","안달훈","9,001","진 입",""
