"rank","name","rating","rank_change","rating_change"
"1","박정환","9,918","-","-7"
"2","김지석","9,865","-","-28"
"3","이세돌","9,797","-","15"
"4","강동윤","9,662","-","-23"
"5","박영훈","9,660","-","11"
"6","최철한","9,598","-","-5"
"7","백홍석","9,555","1","15"
"8","김승재","9,507","-","-33"
"9","나 현","9,500","2","-57"
"10","이동훈","9,493","4","33"
"11","원성진","9,492","1","-17"
"12","이영구","9,476","1","0"
"13","조한승","9,469","1","-4"
"14","윤준상","9,461","1","-2"
"15","김정현","9,447","-","1"
"16","안성준","9,442","3","8"
"17","강유택","9,433","7","59"
"17","이지현(남)","9,433","1","-10"
"19","이원영","9,431","3","-12"
"20","안국현","9,427","2","-9"
"21","김현찬","9,407","1","24"
"22","홍성지","9,396","2","-3"
"23","한상훈","9,385","2","0"
"24","진시영","9,374","4","31"
"25","허영호","9,373","2","-7"
"26","신진서","9,356","6","56"
"27","변상일","9,353","2","-7"
"28","박승화","9,350","2","-9"
"29","목진석","9,349","2","0"
"30","이창호","9,345","1","3"
"31","강승민","9,324","1","-5"
"32","김세동","9,309","1","0"
"33","박민규","9,306","4","27"
"34","이태현","9,300","7","33"
"35","민상연","9,290","-","4"
"36","박정상","9,289","2","0"
"37","안형준","9,284","5","19"
"38","김주호","9,276","5","-14"
"39","김기용","9,275","1","3"
"40","한승주","9,274","4","-9"
"41","홍민표","9,272","2","16"
"42","김동호","9,271","3","-3"
"43","송태곤","9,265","5","-13"
"44","윤찬희","9,255","1","12"
"45","이춘규","9,246","1","-2"
"46","한태희","9,244","4","21"
"47","한웅규","9,234","1","-3"
"48","안조영","9,233","3","12"
"49","류민형","9,228","2","-8"
"50","류수항","9,227","2","-4"
"51","신민준","9,215","1","-3"
"52","김성진","9,214","3","-11"
"52","이호범","9,214","2","-2"
"54","박진솔","9,207","2","-11"
"55","온소진","9,203","5","29"
"56","이원도","9,198","5","26"
"57","황재연","9,193","2","-16"
"58","김진휘","9,186","2","-8"
"59","송상훈","9,184","2","-8"
"59","고근태","9,184","1","2"
"61","박시열","9,180","2","13"
"62","박준석","9,168","3","-9"
"63","김형우","9,164","1","-6"
"64","이형진","9,161","5","25"
"65","김민호","9,157","1","-3"
"65","강병권","9,157","1","-3"
"67","이상헌","9,137","1","-9"
"67","홍기표","9,137","1","-3"
"69","조인선","9,136","2","-7"
"70","조훈현","9,123","2","6"
"71","진동규","9,112","1","-8"
"72","이재웅","9,111","2","11"
"73","이희성","9,106","2","-13"
"74","이정우","9,104","1","-7"
"75","유창혁","9,100","1","4"
"76","최기훈","9,097","1","0"
"77","강창배","9,076","-","0"
"78","신윤호","9,074","1","8"
"79","이범진","9,062","1","0"
"80","이현호","9,061","2","-7"
"81","박병규","9,056","1","0"
"82","최명훈","9,043","1","-16"
"83","정두호","9,038","-","-12"
"84","한종진","9,033","1","8"
"85","전영규","9,024","1","-7"
"86","양우석","9,017","2","2"
"87","박영롱","9,011","-","-9"
"88","강지성","9,007","1","-1"
"89","최 정","9,000","3","-21"
"90","유병용","8,998","진 입",""
"90","주형욱","8,998","-","1"
"92","김수용","8,994","1","1"
"93","류재형","8,993","4","12"
"94","박승현","8,992","2","0"
"95","박경근","8,984","2","-7"
"96","김승준","8,975","2","-10"
"96","이상훈(小)","8,975","2","-10"
"98","서봉수","8,972","2","-10"
"99","안달훈","8,961","1","-10"
"99","박정근","8,961","진 입",""
