"rank","name","rating","rank_change","rating_change"
"1","박정환","9,907","-","34"
"2","김지석","9,876","-","29"
"3","이세돌","9,755","-","-24"
"4","최철한","9,647","-","-34"
"5","박영훈","9,619","-","67"
"6","강동윤","9,562","2","32"
"7","백홍석","9,541","1","0"
"8","원성진","9,538","1","0"
"9","이영구","9,476","-","0"
"10","안성준","9,473","7","55"
"11","윤준상","9,469","1","0"
"12","조한승","9,465","1","-3"
"13","목진석","9,464","1","23"
"14","김정현","9,443","2","-7"
"15","나 현","9,440","1","3"
"16","이원영","9,428","3","34"
"16","이지현(남)","9,428","4","-22"
"18","김승재","9,425","2","32"
"19","홍성지","9,420","1","14"
"20","변상일","9,416","6","-25"
"21","안국현","9,395","2","10"
"22","허영호","9,394","-","4"
"23","이창호","9,372","3","-21"
"24","강유택","9,367","-","-3"
"25","한상훈","9,364","-","28"
"26","김세동","9,322","1","-8"
"27","진시영","9,318","2","-18"
"28","민상연","9,311","12","61"
"29","박승화","9,309","1","-11"
"30","김기용","9,303","1","0"
"31","박정상","9,301","1","17"
"32","이동훈","9,285","1","0"
"32","김성진","9,285","2","14"
"34","신진서","9,279","4","-11"
"35","김주호","9,270","1","15"
"36","홍민표","9,259","2","6"
"37","김현찬","9,255","15","56"
"38","안조영","9,254","1","2"
"39","류수항","9,250","6","-32"
"40","이춘규","9,248","1","0"
"41","강승민","9,241","2","10"
"42","한태희","9,240","7","-19"
"43","김동호","9,231","2","9"
"43","한승주","9,231","1","-6"
"43","한웅규","9,231","7","-24"
"46","이태현","9,229","2","10"
"47","박진솔","9,225","2","3"
"48","송태곤","9,221","8","39"
"49","김진휘","9,220","5","-7"
"49","신민준","9,220","4","22"
"51","안형준","9,215","4","-6"
"52","류민형","9,207","2","12"
"53","강병권","9,198","2","-9"
"54","윤찬희","9,191","5","-23"
"55","박준석","9,187","3","8"
"56","이호범","9,186","6","-24"
"57","황재연","9,184","2","-3"
"58","이원도","9,182","2","0"
"58","김형우","9,182","2","10"
"60","이형진","9,178","3","29"
"61","온소진","9,176","2","0"
"62","고근태","9,169","1","2"
"63","박민규","9,163","5","40"
"64","조훈현","9,154","2","0"
"65","이상헌","9,146","1","0"
"66","홍기표","9,133","1","-9"
"67","최기훈","9,130","1","-9"
"68","이희성","9,129","1","-4"
"69","조인선","9,110","-","-4"
"70","박시열","9,108","1","-6"
"71","이재웅","9,101","9","42"
"72","최명훈","9,098","1","-15"
"73","진동규","9,094","-","5"
"74","유창혁","9,088","-","7"
"75","정두호","9,085","3","-6"
"76","강창배","9,081","2","0"
"77","이정우","9,070","1","6"
"78","전영규","9,066","1","-2"
"79","신윤호","9,062","진 입",""
"79","이범진","9,062","-","0"
"81","양우석","9,059","1","0"
"82","박병규","9,056","6","-15"
"83","이현호","9,047","1","-8"
"84","주형욱","9,037","1","-5"
"85","박영롱","9,021","1","10"
"86","강지성","9,008","1","-5"
"86","한종진","9,008","-","-3"
"88","박승현","9,004","4","-15"
"89","김승준","8,993","1","-9"
"89","서봉수","8,993","4","11"
"89","안달훈","8,993","-","-2"
"92","이상훈(小)","8,987","6","27"
"93","류재형","8,983","1","2"
"94","김기원","8,982","2","-6"
"95","박정근","8,979","4","-12"
"96","최원용","8,975","진 입",""
"96","박경근","8,975","6","-17"
"98","유재호","8,956","3","-9"
"99","김현섭","8,955","1","0"
"99","서건우","8,955","-","-2"
