"rank","name","rating","rank_change","rating_change"
"1","이세돌","9,761","-","18"
"2","이창호","9,587","1","-1"
"3","최철한","9,587","1","-1"
"4","강동윤","9,536","2","31"
"5","박영훈","9,536","3","-56"
"6","박정환","9,519","1","-25"
"7","김지석","9,486","1","9"
"8","허영호","9,480","1","-9"
"9","윤준상","9,444","2","21"
"10","목진석","9,442","3","53"
"11","조한승","9,442","2","-22"
"12","원성진","9,420","-","26"
"13","안조영","9,418","3","-13"
"14","이영구","9,408","-","22"
"15","강유택","9,367","-","34"
"16","박정상","9,332","2","34"
"17","한웅규","9,311","-","3"
"18","김승재","9,302","2","7"
"19","한상훈","9,277","-","-21"
"20","백홍석","9,269","4","-57"
"21","홍민표","9,262","1","9"
"22","김정현","9,253","진 입",""
"23","이춘규","9,252","3","22"
"24","김기용","9,230","1","-5"
"25","홍성지","9,229","4","-33"
"26","이희성","9,224","2","-8"
"27","고근태","9,220","2","19"
"28","안형준","9,218","3","-13"
"29","진시영","9,213","4","54"
"30","김형우","9,208","-","12"
"31","조훈현","9,204","4","-13"
"32","이원도","9,184","-","1"
"33","송태곤","9,172","5","-36"
"34","안성준","9,168","3","-18"
"35","강창배","9,165","1","18"
"36","윤찬희","9,160","1","14"
"37","박승화","9,147","4","34"
"38","김주호","9,134","-","11"
"39","유창혁","9,128","2","-5"
"40","이태현","9,123","4","-15"
"41","이현호","9,111","1","-7"
"42","박시열","9,102","1","-3"
"43","진동규","9,101","4","-19"
"44","류동완","9,092","2","-14"
"45","박승현","9,091","2","24"
"46","서건우","9,081","2","-13"
"47","온소진","9,075","2","-7"
"48","최명훈","9,059","2","-19"
"49","이호범","9,056","2","20"
"50","김승준","9,052","2","4"
"51","홍기표","9,046","1","9"
"52","이재웅","9,045","3","6"
"53","이정우","9,041","1","22"
"54","전영규","9,026","1","7"
"55","최기훈","9,025","1","15"
"56","백대현","9,021","4","-12"
"57","박정근","9,016","1","14"
"58","윤성현","9,015","3","5"
"59","최원용","8,992","2","-17"
"60","안달훈","8,982","1","-5"
"61","한종진","8,977","1","5"
"62","루이나이웨이","8,975","1","0"
"63","배준희","8,972","3","-7"
"64","위에량","8,970","1","0"
"65","김세동","8,968","2","13"
"66","김수용","8,966","5","34"
"67","염정훈","8,957","2","-3"
"68","박승철","8,954","2","-6"
"69","김성룡","8,953","1","-1"
"70","박지은","8,951","6","-17"
"71","유재호","8,950","2","5"
"72","이상훈小","8,950","2","13"
"73","강지성","8,948","3","49"
"74","이성재","8,929","2","2"
"75","류재형","8,918","2","-9"
"76","박병규","8,918","2","6"
"77","조혜연","8,913","2","2"
"78","서봉수","8,895","-","3"
"79","윤현석","8,888","-","-1"
"80","주형욱","8,878","3","-14"
"81","최규병","8,876","-","-6"
"82","윤혁","8,872","2","-11"
"83","이상훈大","8,871","-","-1"
"84","옥득진","8,870","2","-6"
"85","김형환","8,866","1","0"
"86","김진우","8,864","-","21"
"87","안영길","8,863","2","0"
"88","김영삼","8,862","1","27"
"89","홍장식","8,837","1","5"
"90","김영환","8,834","3","-8"
"91","이용수","8,833","-","1"
"92","박진솔","8,821","4","-18"
"93","권형진","8,804","3","9"
"94","조경호","8,804","-","0"
"95","이용찬","8,801","2","-7"
"96","양건","8,796","4","-19"
"97","서무상","8,791","-","-4"
"98","김만수","8,787","-","5"
"99","최병환","8,784","4","-18"
"100","김현섭","8,777","1","-2"
