"rank","name","rating","rank_change","rating_change"
"1","이세돌","9,806","-","-18"
"2","박정환","9,606","2","14"
"3","최철한","9,599","-","-3"
"4","허영호","9,594","1","41"
"5","원성진","9,582","3","-37"
"6","강동윤","9,550","2","25"
"7","이창호","9,546","1","1"
"8","박영훈","9,540","2","61"
"9","김지석","9,512","2","-21"
"10","윤준상","9,489","1","-22"
"11","조한승","9,454","-","2"
"12","이영구","9,418","-","-5"
"13","목진석","9,418","1","0"
"14","안조영","9,374","1","-45"
"15","강유택","9,364","-","-4"
"16","박정상","9,330","1","-11"
"17","한상훈","9,318","1","-27"
"18","진시영","9,302","2","20"
"19","백홍석","9,290","-","8"
"20","김승재","9,290","2","-13"
"21","한웅규","9,273","1","-1"
"22","홍민표","9,271","1","-3"
"23","홍성지","9,251","-","17"
"24","고근태","9,225","-","0"
"25","김형우","9,218","1","0"
"26","김기용","9,210","3","-3"
"27","안형준","9,206","1","-10"
"28","조훈현","9,203","1","-14"
"29","이춘규","9,203","1","0"
"30","김정현","9,196","5","-23"
"31","이원도","9,179","-","12"
"32","이희성","9,161","-","0"
"33","안성준","9,161","-","0"
"34","온소진","9,157","-","0"
"35","박시열","9,146","-","-8"
"36","진동규","9,140","2","20"
"37","유창혁","9,140","1","0"
"38","김주호","9,139","1","16"
"39","이태현","9,139","3","28"
"40","송태곤","9,129","-","15"
"41","윤찬희","9,115","2","0"
"42","강창배","9,113","1","0"
"43","박승화","9,111","-","1"
"44","이현호","9,097","-","0"
"45","이호범","9,095","2","19"
"46","서건우","9,087","1","-5"
"47","류동완","9,081","1","0"
"48","최기훈","9,058","3","17"
"49","박승현","9,054","1","0"
"50","김승준","9,053","1","0"
"51","전영규","9,044","2","13"
"52","홍기표","9,042","2","0"
"53","박정근","9,033","1","0"
"54","김세동","9,025","-","0"
"55","이정우","9,021","2","0"
"56","이재웅","9,013","-","-8"
"57","최명훈","9,011","2","-11"
"58","배준희","9,009","1","0"
"59","백대현","9,003","1","-12"
"60","윤성현","8,997","-","0"
"61","위에량","8,996","-","0"
"62","최원용","8,992","-","0"
"63","이상훈小","8,983","-","0"
"64","김수용","8,973","-","0"
"65","안달훈","8,964","-","0"
"66","루이나이웨이","8,962","-","1"
"67","한종진","8,961","-","0"
"68","박지은","8,959","-","3"
"69","강지성","8,951","-","0"
"70","박병규","8,945","-","0"
"71","박승철","8,945","-","0"
"72","염정훈","8,944","-","0"
"73","유재호","8,938","-","0"
"74","김성룡","8,936","-","0"
"75","이성재","8,933","-","0"
"76","주형욱","8,905","1","0"
"77","조혜연","8,904","1","-17"
"78","류재형","8,898","-","0"
"79","윤현석","8,887","1","0"
"80","서봉수","8,885","1","3"
"81","김영삼","8,884","2","-4"
"82","박진솔","8,872","-","0"
"83","윤혁","8,867","-","0"
"84","이상훈大","8,866","-","0"
"85","안영길","8,863","-","0"
"86","옥득진","8,862","-","0"
"87","최규병","8,854","2","3"
"88","김형환","8,852","-","0"
"89","김진우","8,849","2","-5"
"90","이용수","8,832","-","0"
