"rank","name","rating","rank_change","rating_change"
"1","박정환","9,873","-","-42"
"2","김지석","9,847","-","-13"
"3","이세돌","9,779","-","45"
"4","최철한","9,681","-","8"
"5","박영훈","9,552","-","-15"
"6","백홍석","9,541","-","0"
"7","원성진","9,538","1","6"
"8","강동윤","9,530","1","-4"
"9","이영구","9,476","1","0"
"10","윤준상","9,469","3","0"
"11","조한승","9,468","2","-18"
"12","김정현","9,450","5","20"
"12","이지현男","9,450","2","-26"
"14","변상일","9,441","1","-1"
"14","목진석","9,441","-","-3"
"16","나현","9,437","4","-36"
"17","안성준","9,418","1","-21"
"18","홍성지","9,406","-","0"
"19","이원영","9,394","5","33"
"20","김승재","9,393","-","3"
"20","이창호","9,393","3","18"
"22","허영호","9,390","2","0"
"23","안국현","9,385","4","-18"
"24","강유택","9,370","2","-6"
"25","한상훈","9,336","4","28"
"25","진시영","9,336","-","-1"
"27","김세동","9,330","3","37"
"28","박승화","9,320","6","51"
"29","김기용","9,303","1","-8"
"30","신진서","9,290","11","56"
"31","이동훈","9,285","5","-51"
"32","박정상","9,284","1","1"
"33","류수항","9,282","6","-32"
"34","김성진","9,271","3","-21"
"35","한태희","9,259","4","7"
"36","김주호","9,255","1","-9"
"36","한웅규","9,255","-","-8"
"38","홍민표","9,253","-","-4"
"39","안조영","9,252","7","-35"
"40","민상연","9,250","-","15"
"41","이춘규","9,248","4","-11"
"42","한승주","9,237","-","6"
"43","강승민","9,231","4","26"
"44","김진휘","9,227","6","23"
"45","김동호","9,222","1","1"
"45","박진솔","9,222","2","17"
"47","안형준","9,221","4","-3"
"48","이태현","9,219","1","14"
"49","윤찬희","9,214","3","24"
"50","이호범","9,210","5","28"
"51","강병권","9,207","6","-6"
"52","김현찬","9,199","7","-14"
"53","신민준","9,198","5","40"
"54","류민형","9,195","3","-5"
"55","황재연","9,187","5","33"
"56","이원도","9,182","1","0"
"56","송태곤","9,182","3","-7"
"58","박준석","9,179","4","30"
"59","온소진","9,176","5","-7"
"60","김형우","9,172","3","0"
"61","고근태","9,167","1","18"
"62","조훈현","9,154","7","24"
"63","이형진","9,149","4","-8"
"64","이상헌","9,146","3","7"
"65","홍기표","9,142","1","2"
"66","최기훈","9,139","2","-9"
"67","이희성","9,133","1","-5"
"68","박민규","9,123","7","-28"
"69","박시열","9,114","2","3"
"69","조인선","9,114","4","-27"
"71","최명훈","9,113","1","-3"
"72","정두호","9,091","3","20"
"73","진동규","9,089","1","-3"
"74","강창배","9,081","1","-6"
"74","유창혁","9,081","2","11"
"76","박병규","9,071","7","30"
"77","전영규","9,068","3","15"
"78","이정우","9,064","1","5"
"79","이범진","9,062","2","0"
"80","양우석","9,059","6","-15"
"80","이재웅","9,059","1","10"
"82","이현호","9,055","4","-6"
"83","주형욱","9,042","2","-7"
"84","박승현","9,019","-","-4"
"85","강지성","9,013","3","3"
"86","한종진","9,011","1","-1"
"86","박영롱","9,011","1","-1"
"88","김승준","9,002","3","-10"
"89","안달훈","8,995","2","2"
"90","박경근","8,992","1","-10"
"91","박정근","8,991","5","25"
"92","김기원","8,988","2","-13"
"93","서봉수","8,982","1","-1"
"94","류재형","8,981","1","-5"
"95","유재호","8,965","2","0"
"96","김대희","8,961","2","2"
"96","최홍윤","8,961","1","-6"
"98","이상훈小","8,960","2","4"
"99","서건우","8,957","진 입",""
"100","김현섭","8,955","2","-4"
