"rank","name","rating","rank_change","rating_change"
"1","박정환","9,895","-","-7"
"2","신진서","9,784","-","1"
"3","이세돌","9,742","-","0"
"4","박영훈","9,675","-","2"
"5","이동훈","9,656","-","4"
"6","최철한","9,654","1","2"
"7","김지석","9,647","1","2"
"7","안성준","9,647","-","1"
"9","원성진","9,604","-","11"
"10","강동윤","9,590","-","5"
"11","이영구","9,586","-","5"
"12","변상일","9,559","-","15"
"13","이지현(남)","9,534","1","1"
"14","조한승","9,532","1","-5"
"15","나 현","9,527","-","0"
"16","신민준","9,498","-","11"
"17","홍성지","9,487","1","10"
"18","강유택","9,472","1","-12"
"19","김명훈","9,446","5","33"
"20","목진석","9,424","-","-1"
"21","한상훈","9,422","2","6"
"22","김정현","9,421","3","-10"
"23","허영호","9,420","2","-3"
"24","윤준상","9,419","1","11"
"25","백홍석","9,418","4","-5"
"26","안국현","9,412","1","4"
"27","진시영","9,401","-","5"
"28","김승재","9,385","1","0"
"29","김기용","9,379","2","15"
"30","박진솔","9,378","2","-11"
"31","김현찬","9,372","1","0"
"32","박승화","9,345","-","0"
"33","한승주","9,343","1","8"
"34","강승민","9,337","1","-4"
"35","류민형","9,323","-","6"
"36","민상연","9,316","-","0"
"37","이창호","9,311","1","2"
"38","한태희","9,308","1","1"
"39","김세동","9,307","2","-8"
"40","박민규","9,304","-","0"
"41","윤찬희","9,298","-","0"
"41","안조영","9,298","1","9"
"43","이원영","9,283","-","-4"
"44","이호범","9,268","1","0"
"45","류수항","9,265","2","9"
"46","이태현","9,259","2","-10"
"47","박정상","9,256","3","10"
"48","송지훈","9,251","1","-5"
"49","한웅규","9,250","-","0"
"50","김주호","9,238","1","-3"
"50","박창명","9,238","4","-20"
"52","최재영","9,235","1","-6"
"53","송태곤","9,234","-","0"
"54","홍기표","9,206","-","-8"
"55","김성진","9,194","-","0"
"56","이춘규","9,193","-","0"
"56","최 정","9,193","1","2"
"58","안형준","9,186","-","0"
"59","김동호","9,182","-","0"
"60","김형우","9,171","-","0"
"61","고근태","9,167","-","0"
"62","유병용","9,164","2","9"
"63","홍민표","9,161","1","0"
"64","황재연","9,145","4","8"
"65","조훈현","9,144","-","0"
"66","온소진","9,143","1","5"
"67","이원도","9,136","1","-7"
"67","송상훈","9,136","4","-21"
"69","박시열","9,134","3","7"
"70","조인선","9,130","1","-4"
"71","김민호","9,128","1","-4"
"72","유창혁","9,125","1","0"
"73","강병권","9,124","1","0"
"74","이창석","9,119","3","-11"
"74","최기훈","9,119","1","0"
"76","박하민","9,118","-","0"
"77","진동규","9,109","-","7"
"78","이형진","9,098","1","0"
"79","안정기","9,096","1","0"
"80","박재근","9,093","2","-7"
"81","이정우","9,089","2","0"
"81","이희성","9,089","-","-2"
"83","설현준","9,084","8","25"
"83","김진휘","9,084","1","-6"
"85","이상헌","9,083","1","0"
"86","박영롱","9,079","-","0"
"87","박준석","9,077","2","-3"
"88","신윤호","9,071","-","0"
"88","박경근","9,071","1","-3"
"90","홍무진","9,066","1","0"
"90","이재웅","9,066","1","0"
"92","이현호","9,055","-","0"
"93","백찬희","9,051","-","-3"
"94","이범진","9,050","-","3"
"95","김수용","9,039","-","0"
"96","최명훈","9,031","1","0"
"97","박건호","9,029","1","-7"
"98","강지성","9,028","1","9"
"99","최현재","9,020","1","0"
"100","박승현","9,019","1","0"
