"rank","name","rating","rank_change","rating_change"
"1","이창호","20,863","-","105"
"2","이세돌","20,272","-","-69"
"3","최철한","18,016","-","-155"
"4","박영훈","16,489","-","-293"
"5","조한승","15,773","1","254"
"6","박정상","15,611","1","-102"
"7","안조영","13,911","1","43"
"8","고근태","13,885","1","-41"
"9","원성진","13,835","1","59"
"10","조훈현","13,638","1","-198"
"11","이영구","13,630","1","119"
"12","윤준상","13,602","1","-78"
"13","이희성","13,235","-","-35"
"14","온소진","13,157","2","262"
"15","유창혁","12,954","1","-129"
"16","김주호","12,893","1","-13"
"17","강동윤","12,844","1","6"
"18","목진석","12,828","1","-19"
"19","백홍석","12,822","5","411"
"20","홍성지","12,614","1","-109"
"21","송태곤","12,612","-","126"
"22","허영호","12,542","2","-44"
"23","김승준","12,537","1","53"
"24","홍민표","12,525","1","47"
"25","루이나이웨이","12,331","-","13"
"26","이재웅","12,329","-","35"
"27","최원용","12,224","1","184"
"28","김지석","12,131","1","44"
"29","서봉수","12,128","2","292"
"30","김성룡","11,944","4","172"
"31","윤성현","11,941","1","0"
"32","서건우","11,916","3","-31"
"33","안달훈","11,873","1","38"
"34","이정우","11,717","1","11"
"35","진동규","11,717","2","-90"
"36","최명훈","11,591","-","-19"
"37","서무상","11,535","-","-62"
"38","김만수","11,500","-","-24"
"39","류재형","11,457","-","-14"
"40","김형우","11,454","-","85"
"41","윤현석","11,369","-","15"
"42","최규병","11,352","-","53"
"43","양재호","11,303","2","42"
"44","이성재","11,297","2","42"
"45","김영환","11,236","2","0"
"46","박승현","11,234","3","-36"
"47","김진우","11,223","3","-46"
"48","진시영","11,192","-","-9"
"49","김영삼","11,172","진 입",""
"50","김명완","11,166","1","4"
