"rank","name","rating","rank_change","rating_change"
"1","박정환","9,936","-","20"
"2","김지석","9,792","-","20"
"3","이세돌","9,759","-","3"
"4","강동윤","9,711","-","48"
"5","박영훈","9,630","-","10"
"6","최철한","9,599","-","7"
"7","이동훈","9,554","1","9"
"8","나현","9,545","1","-26"
"9","윤준상","9,524","3","37"
"10","안성준","9,515","1","26"
"11","백홍석","9,498","2","18"
"12","조한승","9,492","3","-11"
"13","이영구","9,476","1","0"
"14","김승재","9,466","4","-35"
"15","이지현男","9,465","5","45"
"16","원성진","9,452","1","-8"
"17","홍성지","9,433","-","0"
"18","목진석","9,426","3","13"
"18","안국현","9,426","6","23"
"20","한상훈","9,423","1","10"
"21","박승화","9,422","2","-2"
"22","김정현","9,419","4","-7"
"23","허영호","9,414","3","13"
"24","김명훈","9,412","8","-28"
"25","진시영","9,394","2","0"
"26","신진서","9,391","4","29"
"27","강유택","9,390","4","-17"
"28","변상일","9,363","4","-40"
"29","이원영","9,358","1","-17"
"30","이창호","9,347","-","-15"
"31","박정상","9,335","1","13"
"31","김현찬","9,335","3","-40"
"33","김세동","9,331","-","11"
"34","강승민","9,310","-","-7"
"35","김기용","9,301","1","18"
"36","박민규","9,299","1","-11"
"37","신민준","9,286","6","31"
"38","윤찬희","9,277","2","12"
"39","이태현","9,273","2","0"
"40","민상연","9,272","2","16"
"41","류민형","9,259","9","23"
"42","김동호","9,255","3","-14"
"43","한태희","9,249","6","-24"
"44","박진솔","9,244","3","-17"
"44","송태곤","9,244","1","0"
"46","이춘규","9,242","1","0"
"47","한웅규","9,241","1","0"
"48","김주호","9,240","2","4"
"49","홍민표","9,239","5","-7"
"50","류수항","9,235","5","-9"
"51","김성진","9,229","2","0"
"52","안형준","9,224","4","-17"
"53","고근태","9,206","1","-7"
"54","안조영","9,205","2","-28"
"55","온소진","9,193","1","0"
"56","이호범","9,188","3","7"
"57","이원도","9,184","1","0"
"58","한승주","9,178","3","-19"
"59","박시열","9,176","2","-9"
"60","홍기표","9,173","10","39"
"61","김형우","9,164","1","0"
"62","황재연","9,162","2","-2"
"63","조훈현","9,157","-","0"
"64","송상훈","9,155","-","0"
"65","이상헌","9,148","3","-14"
"66","이형진","9,145","-","0"
"67","김민호","9,138","1","0"
"68","조인선","9,136","1","0"
"69","김진휘","9,130","4","-17"
"70","강병권","9,128","1","0"
"71","박준석","9,124","4","-19"
"71","이정우","9,124","1","-2"
"73","신윤호","9,112","1","9"
"74","유창혁","9,106","1","0"
"75","이현호","9,102","-","2"
"76","이재웅","9,098","-","0"
"77","진동규","9,097","-","0"
"77","최기훈","9,097","-","0"
"79","박영롱","9,065","3","9"
"80","이희성","9,064","-","0"
"81","이범진","9,062","-","0"
"82","최 정","9,061","3","-13"
"83","한종진","9,046","-","0"
"84","강창배","9,044","-","0"
"85","박병규","9,040","-","0"
"86","정두호","9,030","-","0"
"87","김수용","9,023","-","-2"
"88","최명훈","9,019","-","0"
"89","주형욱","9,018","1","0"
"90","유병용","9,017","1","3"
"91","최현재","9,004","3","-15"
"91","전영규","9,004","1","0"
"93","박정근","9,000","-","0"
"94","이상훈小","8,999","-","0"
"94","강지성","8,999","-","0"
"96","양우석","8,998","-","0"
"97","박승현","8,992","-","0"
"98","류재형","8,978","1","0"
"99","유재호","8,972","1","-9"
"100","김승준","8,966","진 입",""
