"rank","name","rating","rank_change","rating_change"
"1","이창호","20,732","-","-130"
"2","이세돌","19,763","-","-7"
"3","박영훈","18,008","-","125"
"4","조한승","16,812","1","288"
"5","최철한","16,606","1","-173"
"7","목진석","15,858","-","25"
"6","박정상","15,856","-","-96"
"8","이영구","15,083","-","74"
"9","강동윤","14,797","1","474"
"10","윤준상","14,374","1","-151"
"11","안조영","13,957","-","122"
"12","홍성지","13,927","5","321"
"13","김지석","13,887","1","166"
"14","원성진","13,853","1","70"
"15","온소진","13,802","3","-13"
"16","백홍석","13,697","-","49"
"17","조훈현","13,677","2","0"
"18","홍민표","13,427","1","-81"
"19","김승준","13,393","1","-93"
"20","고근태","13,332","2","-249"
"21","허영호","13,151","2","281"
"22","이희성","12,943","1","12"
"23","유창혁","12,812","2","328"
"24","한상훈","12,778","2","435"
"25","김주호","12,682","3","-190"
"26","김기용","12,596","3","324"
"27","송태곤","12,397","3","-109"
"28","이성재","12,360","1","32"
"29","최원용","12,171","1","-144"
"30","서건우","12,112","2","-7"
"31","안달훈","12,055","1","-103"
"32","루이나이웨이","12,053","1","-80"
"33","윤성현","12,010","-","-29"
"34","김성룡","11,841","2","19"
"35","김형우","11,839","-","11"
"36","이정우","11,786","2","-107"
"37","진동규","11,701","3","47"
"38","최명훈","11,660","1","-27"
"39","조혜연","11,651","5","116"
"40","서봉수","11,641","2","-57"
"41","이재웅","11,629","4","-127"
"42","배준희","11,624","1","2"
"43","박승화","11,608","1","10"
"44","박정환","11,608","진 입",""
"45","윤찬희","11,461","4","68"
"46","윤현석","11,450","3","-90"
"47","홍기표","11,434","2","-59"
"48","옥득진","11,396","1","-31"
"49","김만수","11,396","3","-44"
"50","김영환","11,316","2","-87"
