"rank","name","rating","rank_change","rating_change"
"1","박정환","10,017","1","26"
"2","신진서","9,965","1","-39"
"3","김지석","9,776","-","-11"
"4","변상일","9,709","-","18"
"5","이동훈","9,679","-","18"
"6","신민준","9,661","-","41"
"7","박영훈","9,646","2","54"
"8","강동윤","9,631","1","12"
"9","나 현","9,598","1","8"
"10","이영구","9,595","-","5"
"11","안성준","9,589","3","-9"
"12","원성진","9,572","1","26"
"13","이세돌","9,562","1","-17"
"14","안국현","9,548","2","19"
"15","최철한","9,537","1","-6"
"16","김명훈","9,533","2","14"
"17","조한승","9,528","-","5"
"18","윤준상","9,521","1","11"
"19","이지현(남)","9,517","4","-16"
"20","박진솔","9,503","1","10"
"21","홍성지","9,496","1","0"
"22","강유택","9,438","-","-16"
"23","이원영","9,428","-","-16"
"24","강승민","9,422","-","-7"
"25","백홍석","9,416","2","31"
"26","김승재","9,400","3","31"
"27","김정현","9,386","1","-5"
"28","송지훈","9,384","3","-9"
"29","최 정","9,363","1","-2"
"30","한승주","9,361","2","-11"
"31","박민규","9,357","1","-2"
"32","윤찬희","9,351","-","-8"
"33","한상훈","9,343","2","-17"
"34","허영호","9,338","-","1"
"35","송태곤","9,325","-","7"
"36","이창석","9,317","2","9"
"37","목진석","9,316","6","18"
"38","정서준","9,306","2","-6"
"39","설현준","9,301","-","-6"
"40","이창호","9,298","3","-13"
"41","김세동","9,297","-","-6"
"42","박승화","9,293","-","-7"
"43","민상연","9,287","3","-19"
"44","박하민","9,280","5","4"
"45","류수항","9,278","1","-5"
"45","한태희","9,278","3","0"
"47","송규상","9,277","4","17"
"48","이원도","9,276","5","20"
"49","진시영","9,273","2","-6"
"50","홍기표","9,272","4","-8"
"51","류민형","9,266","6","-15"
"52","김현찬","9,265","1","5"
"53","이태현","9,263","3","0"
"54","박건호","9,244","-","-10"
"55","최재영","9,242","9","43"
"56","한웅규","9,235","1","-2"
"57","박정상","9,225","1","-11"
"58","이호범","9,221","-","-7"
"59","고근태","9,220","-","7"
"60","안형준","9,217","3","-13"
"61","김주호","9,209","1","4"
"62","김기용","9,197","1","-7"
"63","안조영","9,191","1","-11"
"63","박창명","9,191","-","-10"
"65","김성진","9,186","1","14"
"66","박재근","9,179","4","16"
"67","안정기","9,174","-","4"
"68","김형우","9,165","3","-14"
"68","온소진","9,165","1","-5"
"70","심재익","9,161","2","6"
"71","홍무진","9,157","8","43"
"72","이형진","9,156","1","5"
"73","홍민표","9,154","3","-9"
"74","위태웅","9,150","5","-14"
"75","조훈현","9,144","-","0"
"76","김동호","9,136","-","-7"
"77","조인선","9,133","3","-17"
"78","김진휘","9,130","1","16"
"79","유창혁","9,125","2","0"
"80","유병용","9,115","1","13"
"81","이춘규","9,105","3","-16"
"82","강병권","9,088","2","0"
"83","박준석","9,086","1","-13"
"84","김기범","9,081","1","-15"
"85","진동규","9,080","-","-6"
"86","이정우","9,076","1","-3"
"87","황재연","9,071","4","1"
"88","박시열","9,070","7","12"
"88","김민호","9,070","2","-11"
"90","김남훈","9,067","2","2"
"91","백찬희","9,065","2","4"
"92","최기훈","9,063","3","-8"
"93","오유진","9,061","4","9"
"94","이상헌","9,059","6","-16"
"95","박상진","9,058","진 입",""
"96","최명훈","9,056","4","12"
"97","박영롱","9,054","3","-6"
"97","송상훈","9,054","8","-17"
"99","이범진","9,053","3","0"
"100","이재웅","9,050","2","0"
