"rank","name","rating","rank_change","rating_change"
"1","이세돌","9,833","-","5"
"2","최철한","9,702","-","7"
"3","박정환","9,663","-","13"
"4","허영호","9,606","-","5"
"5","원성진","9,598","-","0"
"6","강동윤","9,564","-","0"
"7","박영훈","9,524","1","8"
"8","김지석","9,503","1","4"
"9","이창호","9,500","2","-23"
"10","조한승","9,487","1","12"
"11","이영구","9,472","1","-22"
"12","윤준상","9,431","-","0"
"13","목진석","9,397","-","-5"
"14","강유택","9,393","-","0"
"15","안조영","9,343","-","0"
"16","안국현","9,315","-","0"
"17","한상훈","9,313","-","0"
"18","박정상","9,298","-","-15"
"19","김승재","9,283","-","0"
"20","한웅규","9,281","-","0"
"21","진시영","9,279","1","0"
"22","백홍석","9,272","1","-7"
"23","홍민표","9,271","-","0"
"24","김기용","9,249","-","8"
"25","온소진","9,242","2","22"
"26","김정현","9,234","1","0"
"27","김주호","9,227","4","23"
"28","박승화","9,223","4","29"
"29","조훈현","9,219","3","-4"
"30","고근태","9,217","2","0"
"31","김형우","9,215","2","0"
"32","홍성지","9,210","2","0"
"33","이춘규","9,191","-","0"
"34","안형준","9,172","-","0"
"35","이원영","9,170","-","0"
"36","이원도","9,160","-","0"
"37","이희성","9,154","-","0"
"38","윤찬희","9,136","-","0"
"39","안성준","9,127","1","0"
"40","강창배","9,124","1","0"
"41","김기원","9,123","2","0"
"42","이태현","9,122","2","0"
"43","김승준","9,118","4","16"
"44","유창혁","9,117","5","-17"
"45","송태곤","9,109","-","0"
"46","박시열","9,109","4","-15"
"47","진동규","9,107","1","0"
"48","이현호","9,097","-","0"
"49","이호범","9,092","-","0"
"50","서건우","9,085","-","0"
"51","류동완","9,076","1","0"
"52","박승현","9,069","2","4"
"53","전영규","9,068","-","0"
"54","이재웅","9,066","3","-10"
"55","김세동","9,058","1","14"
"56","홍기표","9,045","1","0"
"57","최기훈","9,032","-","0"
"58","박정근","9,020","-","0"
"59","최명훈","9,015","-","0"
"60","이정우","9,011","-","0"
"61","윤성현","9,003","-","0"
"62","배준희","9,000","-","0"
"63","이상훈小","8,991","-","0"
"64","최원용","8,981","-","0"
"65","백대현","8,980","-","0"
"66","안달훈","8,980","-","0"
"67","염정훈","8,979","-","0"
"68","루이나이웨이","8,975","2","18"
"69","위에량","8,973","1","0"
"70","김수용","8,971","1","0"
"71","강지성","8,956","-","0"
"72","박지은","8,954","-","0"
"73","유재호","8,944","-","0"
"74","박병규","8,940","-","0"
"75","박승철","8,938","-","0"
"76","김성룡","8,930","1","0"
"77","류재형","8,930","1","-5"
"78","한종진","8,929","-","0"
"79","이성재","8,928","-","0"
"80","조혜연","8,908","-","-8"
"81","주형욱","8,905","-","0"
"82","박진솔","8,899","-","0"
"83","이상훈大","8,881","-","0"
"84","김영삼","8,877","-","0"
"85","윤현석","8,872","-","0"
"86","서봉수","8,871","-","0"
"87","윤혁","8,867","-","0"
"88","최규병","8,866","-","0"
"89","안영길","8,863","-","0"
"90","김진우","8,856","-","0"
"91","옥득진","8,854","-","0"
"92","김현섭","8,844","-","0"
"93","김형환","8,842","-","0"
"94","이용수","8,839","-","0"
"95","홍장식","8,806","-","0"
"96","김영환","8,804","-","0"
"97","조경호","8,804","-","0"
"98","김만수","8,796","-","0"
"99","서무상","8,795","-","0"
"100","양건","8,787","-","0"
