"rank","name","rating","rank_change","rating_change"
"1","박정환","9,916","-","15"
"2","김지석","9,772","-","-32"
"3","이세돌","9,756","-","-7"
"4","강동윤","9,663","-","-9"
"5","박영훈","9,620","-","23"
"6","최철한","9,592","-","-3"
"7","나현","9,571","1","26"
"8","이동훈","9,545","1","-29"
"9","조한승","9,503","8","47"
"10","김승재","9,501","1","-1"
"11","안성준","9,489","7","35"
"12","윤준상","9,487","2","22"
"13","백홍석","9,480","4","-39"
"14","이영구","9,476","2","0"
"15","원성진","9,460","5","-43"
"16","김명훈","9,440","1","-21"
"17","홍성지","9,433","3","-8"
"18","김정현","9,426","2","-31"
"19","박승화","9,424","6","27"
"20","이지현男","9,420","7","-46"
"21","한상훈","9,413","-","0"
"21","목진석","9,413","1","7"
"23","강유택","9,407","-","3"
"24","안국현","9,403","5","-47"
"24","변상일","9,403","4","35"
"26","허영호","9,401","3","35"
"27","진시영","9,394","-","0"
"28","이원영","9,375","4","-23"
"28","김현찬","9,375","2","-20"
"30","신진서","9,362","1","16"
"30","이창호","9,362","-","10"
"32","박정상","9,322","1","6"
"33","김세동","9,320","6","41"
"34","강승민","9,317","2","-11"
"35","박민규","9,310","1","11"
"36","김기용","9,283","1","-5"
"37","이태현","9,273","-","-9"
"37","한태희","9,273","1","-10"
"39","김동호","9,269","2","-2"
"40","윤찬희","9,265","5","17"
"41","박진솔","9,261","9","26"
"42","민상연","9,256","2","-17"
"43","신민준","9,255","-","2"
"44","홍민표","9,246","2","-14"
"45","송태곤","9,244","2","0"
"45","류수항","9,244","9","25"
"47","이춘규","9,242","1","0"
"48","한웅규","9,241","1","0"
"48","안형준","9,241","10","-40"
"50","류민형","9,236","2","11"
"50","김주호","9,236","6","-16"
"52","안조영","9,233","6","-12"
"53","김성진","9,229","2","0"
"54","고근태","9,213","2","2"
"55","한승주","9,197","2","-24"
"56","온소진","9,193","1","0"
"57","박시열","9,185","4","9"
"58","이원도","9,184","-","0"
"59","이호범","9,181","4","-31"
"60","김형우","9,164","4","0"
"60","황재연","9,164","2","-20"
"62","이상헌","9,162","-","-3"
"63","조훈현","9,157","5","12"
"64","송상훈","9,155","2","-1"
"65","김진휘","9,147","5","-31"
"66","이형진","9,145","2","0"
"67","박준석","9,143","2","-20"
"68","김민호","9,138","6","-27"
"69","조인선","9,136","1","0"
"70","홍기표","9,134","3","-18"
"71","강병권","9,128","-","0"
"72","이정우","9,126","-","0"
"73","유창혁","9,106","-","0"
"74","신윤호","9,103","4","16"
"75","이현호","9,100","-","3"
"76","이재웅","9,098","2","0"
"77","최기훈","9,097","2","0"
"77","진동규","9,097","2","0"
"79","최 정","9,074","2","14"
"80","이희성","9,064","2","5"
"81","이범진","9,062","1","0"
"82","박영롱","9,056","3","-8"
"83","한종진","9,046","-","-7"
"84","강창배","9,044","-","0"
"85","박병규","9,040","-","0"
"86","정두호","9,030","-","0"
"87","김수용","9,025","1","0"
"88","최명훈","9,019","1","-9"
"88","최현재","9,019","진 입",""
"90","주형욱","9,018","1","0"
"91","유병용","9,014","1","4"
"92","전영규","9,004","1","0"
"93","박정근","9,000","1","0"
"94","이상훈小","8,999","3","15"
"94","강지성","8,999","1","0"
"96","양우석","8,998","2","0"
"97","박승현","8,992","2","0"
"98","유재호","8,981","-","0"
"99","류재형","8,978","-","0"
"100","박경근","8,969","4","-21"
