"rank","name","rating","rank_change","rating_change"
"1","박정환","9,953","-","40"
"2","신진서","9,795","-","8"
"3","이세돌","9,713","-","-43"
"4","김지석","9,649","1","6"
"5","최철한","9,646","1","-55"
"6","안성준","9,632","1","8"
"7","이동훈","9,609","2","28"
"8","변상일","9,607","2","36"
"9","박영훈","9,600","3","-34"
"10","강동윤","9,583","2","-11"
"11","신민준","9,570","3","27"
"12","이영구","9,565","-","16"
"13","이지현(남)","9,542","4","36"
"14","조한승","9,536","1","-10"
"15","김명훈","9,535","1","28"
"16","원성진","9,532","5","-22"
"17","나 현","9,530","2","0"
"18","홍성지","9,494","2","34"
"19","강유택","9,485","6","62"
"20","윤준상","9,478","2","-1"
"21","안국현","9,476","-","17"
"22","허영호","9,449","3","-22"
"23","박진솔","9,440","3","49"
"24","백홍석","9,425","-","-3"
"25","김정현","9,404","3","-34"
"26","한승주","9,402","8","57"
"27","목진석","9,395","4","-38"
"28","류민형","9,381","5","23"
"28","이원영","9,381","8","54"
"30","김현찬","9,372","1","0"
"31","김승재","9,358","2","-20"
"32","한태희","9,355","3","-23"
"33","진시영","9,354","1","-10"
"34","강승민","9,347","7","-41"
"35","박민규","9,345","3","29"
"36","박승화","9,333","1","0"
"37","한상훈","9,331","9","-53"
"38","윤찬희","9,319","6","38"
"39","민상연","9,316","1","0"
"40","이창호","9,313","2","15"
"41","안조영","9,309","-","10"
"42","김세동","9,307","2","0"
"43","이태현","9,302","-","14"
"44","김기용","9,298","7","-25"
"45","송태곤","9,281","5","32"
"46","이호범","9,268","1","0"
"47","한웅규","9,267","1","6"
"48","최 정","9,259","3","11"
"49","박정상","9,258","6","47"
"50","류수항","9,239","4","-22"
"51","박창명","9,234","1","4"
"52","김주호","9,228","1","0"
"53","송지훈","9,221","5","-31"
"54","이창석","9,210","12","55"
"55","홍기표","9,205","6","-46"
"56","최재영","9,201","2","-26"
"57","고근태","9,195","6","34"
"58","이춘규","9,187","2","-5"
"59","안형준","9,186","1","0"
"60","이원도","9,181","1","8"
"61","송규상","9,179","3","19"
"62","김형우","9,178","6","-14"
"62","홍민표","9,178","5","27"
"64","김동호","9,170","4","-4"
"65","김성진","9,167","6","-17"
"66","유병용","9,161","2","1"
"67","황재연","9,150","5","-12"
"68","설현준","9,148","3","13"
"69","조훈현","9,144","1","0"
"70","조인선","9,141","2","8"
"71","온소진","9,129","1","-9"
"72","유창혁","9,125","3","0"
"73","안정기","9,122","11","31"
"74","홍무진","9,121","5","15"
"75","김민호","9,119","6","-22"
"76","박준석","9,118","12","42"
"77","최기훈","9,117","3","-9"
"78","이형진","9,116","5","24"
"79","송상훈","9,113","3","-6"
"80","박시열","9,107","3","-7"
"81","박하민","9,098","3","-11"
"82","진동규","9,094","-","0"
"83","박재근","9,092","10","-36"
"84","강병권","9,091","4","-11"
"85","박건호","9,086","-","2"
"86","이정우","9,081","3","8"
"87","박영롱","9,077","6","-19"
"88","이희성","9,074","2","-5"
"88","이상헌","9,074","1","-4"
"90","신윤호","9,071","-","0"
"91","이범진","9,062","7","36"
"92","최명훈","9,058","8","38"
"93","박경근","9,053","-","-6"
"93","백찬희","9,053","2","4"
"95","이재웅","9,052","1","0"
"96","김남훈","9,050","4","-12"
"97","김진휘","9,040","6","-24"
"98","유재호","9,030","진 입",""
"99","이현호","9,029","3","-15"
"100","김수용","9,027","3","-7"
