"rank","name","rating","rank_change","rating_change"
"1","박정환","9,867","-","-7"
"2","이세돌","9,784","-","-3"
"3","박영훈","9,726","-","-17"
"4","강동윤","9,709","-","36"
"5","김지석","9,648","-","26"
"6","신진서","9,573","1","12"
"7","최철한","9,568","1","-21"
"8","안성준","9,560","-","19"
"9","원성진","9,558","1","22"
"10","이동훈","9,547","1","9"
"11","윤준상","9,525","-","9"
"12","이지현(남)","9,493","1","0"
"13","이영구","9,487","1","-20"
"14","조한승","9,479","-","-5"
"15","홍성지","9,473","2","8"
"16","나 현","9,469","-","0"
"17","김정현","9,468","2","-12"
"18","백홍석","9,461","1","-4"
"19","변상일","9,453","2","0"
"20","허영호","9,447","-","-7"
"21","안국현","9,442","1","0"
"22","김명훈","9,437","3","-25"
"23","목진석","9,435","-","-4"
"24","한상훈","9,424","-","0"
"24","신민준","9,424","-","0"
"26","진시영","9,407","-","0"
"27","민상연","9,395","1","2"
"28","김승재","9,394","1","0"
"29","강유택","9,393","1","0"
"30","김현찬","9,385","-","0"
"31","김기용","9,370","-","-7"
"32","이창호","9,360","-","3"
"33","윤찬희","9,354","2","16"
"34","박민규","9,345","1","0"
"35","박승화","9,344","1","0"
"36","박정상","9,331","-","0"
"37","김세동","9,325","-","0"
"38","류민형","9,324","-","0"
"39","박진솔","9,322","-","0"
"40","이호범","9,304","-","-8"
"41","강승민","9,298","-","0"
"42","김동호","9,295","-","0"
"43","이원영","9,284","-","0"
"44","이태현","9,282","-","0"
"45","한웅규","9,280","-","0"
"46","류수항","9,260","-","0"
"47","한태희","9,257","-","0"
"48","송태곤","9,231","-","0"
"49","홍민표","9,225","-","0"
"50","이춘규","9,223","-","0"
"51","김주호","9,221","-","0"
"52","고근태","9,216","-","-2"
"53","안조영","9,206","-","-2"
"54","김성진","9,204","-","0"
"55","홍기표","9,196","-","0"
"56","안형준","9,193","-","0"
"57","김민호","9,173","3","16"
"58","온소진","9,169","1","0"
"59","김형우","9,164","1","0"
"60","한승주","9,162","1","0"
"61","박재근","9,155","-","0"
"62","황재연","9,154","-","0"
"63","이원도","9,153","-","0"
"64","유창혁","9,150","3","12"
"65","박시열","9,141","-","0"
"66","조훈현","9,140","2","-3"
"67","강병권","9,139","1","0"
"68","이창석","9,137","-","0"
"69","조인선","9,135","-","0"
"70","송지훈","9,129","-","0"
"71","유병용","9,124","1","6"
"72","이형진","9,117","2","-12"
"73","이정우","9,116","-","0"
"74","최 정","9,114","9","34"
"75","박준석","9,111","1","0"
"76","이희성","9,108","1","3"
"76","송상훈","9,108","1","0"
"78","김진휘","9,100","1","0"
"78","최재영","9,100","1","0"
"80","이재웅","9,099","4","-7"
"81","진동규","9,098","3","-6"
"82","최기훈","9,097","1","0"
"83","이상헌","9,089","1","0"
"84","신윤호","9,080","1","0"
"85","이현호","9,076","-","0"
"86","백찬희","9,074","2","6"
"87","김수용","9,072","1","0"
"88","박하민","9,068","1","-3"
"89","이범진","9,053","-","0"
"90","한종진","9,051","-","0"
"91","강창배","9,049","-","0"
"92","박경근","9,047","3","12"
"93","정두호","9,046","1","0"
"94","박영롱","9,044","-","2"
"95","오장욱","9,043","2","0"
"96","박건호","9,026","-","0"
"97","박병규","9,022","-","0"
"98","박정근","9,021","-","0"
"99","박승현","9,020","-","0"
"99","최명훈","9,020","-","0"
