"rank","name","rating","rank_change","rating_change"
"1","이세돌","9,790","-","-16"
"2","박정환","9,642","-","36"
"3","최철한","9,618","-","19"
"4","허영호","9,608","-","14"
"5","원성진","9,583","-","1"
"6","강동윤","9,583","-","33"
"7","이창호","9,529","-","-17"
"8","김지석","9,524","1","12"
"9","박영훈","9,514","1","-26"
"10","조한승","9,454","1","0"
"11","윤준상","9,450","1","-39"
"12","이영구","9,442","-","24"
"13","목진석","9,406","-","-12"
"14","강유택","9,398","1","34"
"15","안조영","9,363","1","-11"
"16","박정상","9,327","-","-3"
"17","한상훈","9,307","-","-11"
"18","김승재","9,292","2","2"
"19","진시영","9,285","1","-17"
"20","한웅규","9,283","1","10"
"21","홍민표","9,281","1","10"
"22","백홍석","9,274","3","-16"
"23","고근태","9,245","1","20"
"24","김정현","9,234","6","38"
"25","조훈현","9,232","3","29"
"26","김형우","9,232","1","14"
"27","김기용","9,224","1","14"
"28","홍성지","9,221","5","-30"
"29","안형준","9,204","2","-2"
"30","김주호","9,190","8","51"
"31","온소진","9,182","3","25"
"32","이춘규","9,171","3","-32"
"33","이원도","9,169","2","-10"
"34","이희성","9,160","2","-1"
"35","윤찬희","9,155","6","40"
"36","박승화","9,150","7","39"
"37","안성준","9,145","4","-16"
"38","박시열","9,141","3","-5"
"39","이태현","9,133","-","-6"
"40","강창배","9,123","2","10"
"41","진동규","9,123","5","-17"
"42","유창혁","9,117","5","-23"
"43","김기원","9,111","진 입",""
"44","송태곤","9,110","4","-19"
"45","이현호","9,097","1","0"
"46","류동완","9,086","1","5"
"47","서건우","9,082","1","-5"
"48","이호범","9,075","3","-20"
"49","박승현","9,071","-","17"
"50","김승준","9,045","-","-8"
"51","홍기표","9,045","1","3"
"52","김세동","9,041","2","16"
"53","이재웅","9,040","3","27"
"54","최기훈","9,037","6","-21"
"55","전영규","9,034","4","-10"
"56","최명훈","9,027","1","16"
"57","이정우","9,023","2","2"
"58","박정근","9,022","5","-11"
"59","윤성현","9,004","1","7"
"60","배준희","9,003","2","-6"
"61","이상훈小","8,999","2","16"
"62","안달훈","8,985","3","21"
"63","백대현","8,984","4","-19"
"64","최원용","8,981","2","-11"
"65","위에량","8,980","4","-16"
"66","김수용","8,973","2","0"
"67","염정훈","8,968","5","24"
"68","루이나이웨이","8,966","2","4"
"69","강지성","8,958","-","7"
"70","박병규","8,946","-","1"
"71","유재호","8,942","2","4"
"72","박승철","8,941","1","-4"
"73","박지은","8,939","5","-20"
"74","한종진","8,938","7","-23"
"75","김성룡","8,932","1","-4"
"76","이성재","8,923","1","-10"
"77","조혜연","8,916","-","12"
"78","류재형","8,909","-","11"
"79","주형욱","8,901","3","-4"
"80","윤현석","8,881","1","-6"
"81","김영삼","8,877","-","-7"
"82","박진솔","8,873","-","1"
"83","서봉수","8,873","3","-12"
"84","안영길","8,863","1","0"
"85","윤혁","8,862","2","-5"
"86","김진우","8,861","3","12"
"87","이상훈大","8,857","3","-9"
"88","옥득진","8,856","2","-6"
"89","최규병","8,852","2","-2"
"90","김형환","8,845","2","-7"
"91","이용수","8,843","1","11"
"92","김현섭","8,829","6","37"
"93","홍장식","8,814","2","-8"
"94","김영환","8,812","2","1"
"95","조경호","8,804","2","0"
"96","김만수","8,797","1","5"
"97","이용찬","8,794","3","-2"
"98","서무상","8,792","2","-1"
"99","양건","8,792","-","2"
"100","최병환","8,787","-","6"
