"rank","name","rating","rank_change","rating_change"
"1","이세돌","9,765","-","21"
"2","박정환","9,646","-","0"
"3","최철한","9,578","1","-1"
"4","이창호","9,574","4","34"
"5","원성진","9,573","2","-57"
"6","강동윤","9,567","1","-8"
"7","이영구","9,550","-","5"
"8","조한승","9,545","2","27"
"9","김지석","9,536","3","-37"
"10","박영훈","9,512","1","-28"
"11","허영호","9,500","-","-1"
"12","윤준상","9,459","1","27"
"13","강유택","9,448","1","-2"
"14","목진석","9,441","-","20"
"15","백홍석","9,406","-","-15"
"16","이지현男","9,382","2","17"
"17","안국현","9,353","1","-24"
"18","김승재","9,351","1","-18"
"19","김정현","9,337","2","31"
"20","김기용","9,324","-","15"
"21","박정상","9,319","2","-6"
"22","한상훈","9,279","5","21"
"23","홍민표","9,264","1","0"
"24","한웅규","9,263","1","-11"
"25","김동호","9,261","-","-2"
"26","안조영","9,258","-","-1"
"27","홍성지","9,257","5","-32"
"28","박승화","9,236","-","-1"
"29","이태현","9,232","4","39"
"30","김기원","9,213","1","3"
"31","진시영","9,205","5","19"
"32","고근태","9,202","3","15"
"33","윤찬희","9,196","3","-5"
"34","안형준","9,191","2","-2"
"35","이원영","9,188","3","6"
"36","김주호","9,185","2","-7"
"37","조훈현","9,178","6","-17"
"38","안성준","9,172","4","15"
"39","김형우","9,169","-","4"
"40","이원도","9,164","1","5"
"41","온소진","9,162","4","-22"
"42","이춘규","9,148","2","-12"
"43","이형진","9,125","1","0"
"44","강창배","9,119","1","-6"
"45","홍기표","9,118","1","7"
"46","유창혁","9,110","5","17"
"47","김승준","9,104","1","6"
"48","송태곤","9,103","3","-12"
"49","이정우","9,097","4","8"
"50","전영규","9,095","-","0"
"51","이현호","9,091","1","0"
"52","이희성","9,090","3","-7"
"53","이호범","9,084","1","0"
"55","진동규","9,078","8","-25"
"54","김세동","9,078","4","17"
"56","박시열","9,075","1","7"
"57","류민형","9,064","2","18"
"58","서건우","9,056","2","-11"
"59","박승현","9,052","2","-12"
"60","최명훈","9,044","1","18"
"61","최기훈","9,031","3","15"
"62","류동완","9,023","-","-2"
"63","주형욱","9,014","4","2"
"64","박지은","9,008","1","-9"
"65","박진솔","9,008","-","-7"
"66","이재웅","9,003","-","-11"
"67","박정근","9,002","7","-24"
"68","안달훈","8,996","-","-10"
"69","류재형","8,987","1","16"
"70","최원용","8,981","1","0"
"71","김수용","8,968","1","0"
"72","박병규","8,966","1","-4"
"73","허진","8,966","1","8"
"74","위에량","8,962","1","8"
"75","강지성","8,960","2","8"
"76","유재호","8,954","3","-8"
"77","염정훈","8,952","1","-1"
"78","윤성현","8,949","-","-2"
"79","배준희","8,944","2","6"
"80","이상훈小","8,937","1","-10"
"81","한종진","8,934","3","10"
"82","박승철","8,926","1","-2"
"83","백대현","8,925","3","-15"
"84","윤현석","8,918","2","20"
"85","루이나이웨이","8,915","3","-16"
"86","김영삼","8,912","1","-7"
"87","김현섭","8,903","-","6"
"88","이성재","8,888","-","-3"
"89","김성룡","8,886","1","8"
"90","김형환","8,882","1","2"
"91","조혜연","8,879","-","2"
"92","서봉수","8,874","1","0"
"93","이상훈大","8,872","1","0"
"94","안영길","8,863","1","0"
"95","옥득진","8,863","3","-13"
"96","이용수","8,858","-","12"
"97","윤혁","8,847","-","5"
"98","최규병","8,836","-","-2"
"99","김대용","8,831","1","4"
"100","양건","8,826","1","-1"
