"rank","name","rating","rank_change","rating_change"
"1","박정환","9,789","-","0"
"2","이세돌","9,747","-","0"
"3","최철한","9,596","-","0"
"4","원성진","9,584","-","0"
"5","강동윤","9,564","-","0"
"6","김지석","9,558","-","0"
"7","조한승","9,557","-","0"
"8","박영훈","9,551","-","0"
"9","백홍석","9,515","-","0"
"10","윤준상","9,465","-","0"
"11","허영호","9,464","-","0"
"12","이창호","9,453","-","0"
"13","김승재","9,443","-","0"
"14","나 현","9,431","-","0"
"15","이영구","9,424","-","0"
"16","강유택","9,409","-","0"
"17","이지현(남)","9,404","-","0"
"18","박정상","9,377","-","0"
"19","목진석","9,371","-","0"
"19","김기용","9,371","1","0"
"21","홍성지","9,342","-","0"
"22","이원영","9,328","-","0"
"23","한상훈","9,326","-","0"
"24","안국현","9,293","-","0"
"25","김동호","9,273","3","26"
"26","홍민표","9,269","-","0"
"27","김정현","9,255","-","0"
"28","한웅규","9,254","3","-25"
"29","김세동","9,247","-","0"
"30","이동훈","9,246","-","0"
"31","진시영","9,231","-","0"
"32","안성준","9,228","-","0"
"33","강승민","9,227","1","0"
"33","한태희","9,227","-","0"
"35","박승화","9,226","-","0"
"36","안조영","9,220","-","0"
"37","홍기표","9,210","-","0"
"38","고근태","9,204","-","0"
"39","윤찬희","9,196","-","0"
"40","이원도","9,194","-","0"
"41","안형준","9,179","-","0"
"42","김주호","9,173","-","0"
"43","김형우","9,157","-","0"
"43","이춘규","9,157","1","0"
"45","강창배","9,150","-","0"
"46","류민형","9,143","-","0"
"47","최기훈","9,139","-","0"
"48","온소진","9,137","-","0"
"49","조훈현","9,135","-","0"
"50","박승현","9,134","-","0"
"51","이태현","9,131","1","0"
"51","김기원","9,131","-","0"
"53","이호범","9,127","-","0"
"54","이형진","9,125","-","0"
"55","박준석","9,124","-","0"
"56","송태곤","9,122","-","0"
"57","박시열","9,118","-","0"
"58","김승준","9,105","1","0"
"58","유창혁","9,105","-","0"
"60","이희성","9,099","-","0"
"61","이정우","9,091","-","0"
"61","이현호","9,091","1","0"
"63","전영규","9,087","-","0"
"64","진동규","9,086","-","0"
"65","최명훈","9,055","-","0"
"66","박진솔","9,053","-","0"
"67","서건우","9,043","-","0"
"68","주형욱","9,029","-","0"
"69","이재웅","9,015","-","0"
"70","한종진","9,000","-","0"
"71","류재형","8,996","-","0"
"72","박정근","8,988","-","0"
"73","류동완","8,986","-","0"
"74","최원용","8,973","-","0"
"75","안달훈","8,970","-","0"
"76","김수용","8,968","-","0"
"77","김형환","8,961","-","0"
"77","박지은","8,961","2","0"
"77","박병규","8,961","1","0"
"80","염정훈","8,955","-","0"
"80","허 진","8,955","1","0"
"82","이상훈(小)","8,954","-","0"
"84","김현섭","8,949","-","0"
"85","유재호","8,946","-","0"
"86","강지성","8,941","-","0"
"87","강 훈(小)","8,937","-","0"
"88","옥득진","8,926","1","0"
"88","김성룡","8,926","-","0"
"90","윤성현","8,913","1","0"
"90","박승철","8,913","-","0"
"92","서봉수","8,906","-","0"
"93","조혜연","8,896","-","0"
"94","백대현","8,886","-","0"
"95","배준희","8,885","-","0"
"96","김영삼","8,884","-","0"
"97","안영길","8,863","-","0"
"98","윤현석","8,857","-","0"
"99","이성재","8,853","1","0"
"99","이상훈(大)","8,853","-","0"
