"rank","name","rating","rank_change","rating_change"
"1","박정환","9,881","-","18"
"2","김지석","9,807","-","-5"
"3","이세돌","9,772","-","30"
"4","최철한","9,707","-","-20"
"5","박영훈","9,605","-","-27"
"6","강동윤","9,558","-","-8"
"7","백홍석","9,553","-","0"
"8","원성진","9,529","-","5"
"9","조한승","9,500","4","40"
"10","이지현(남)","9,493","1","12"
"11","이영구","9,478","1","0"
"12","윤준상","9,473","1","4"
"13","목진석","9,467","1","0"
"14","김정현","9,450","-","0"
"15","나 현","9,442","-","0"
"16","이창호","9,423","-","0"
"17","안성준","9,408","1","0"
"18","김승재","9,407","2","11"
"19","허영호","9,406","-","1"
"19","홍성지","9,406","2","-12"
"21","변상일","9,395","-","6"
"22","강유택","9,380","-","12"
"23","안국현","9,346","-","0"
"24","이동훈","9,335","-","0"
"25","이원영","9,323","1","0"
"26","김기용","9,318","1","0"
"27","김세동","9,313","2","-11"
"28","한상훈","9,307","-","0"
"29","류수항","9,294","-","0"
"30","김주호","9,280","-","0"
"31","한태희","9,278","1","0"
"32","안조영","9,275","1","-4"
"33","홍민표","9,266","-","-11"
"34","한웅규","9,265","1","0"
"35","김성진","9,262","1","0"
"36","이춘규","9,256","2","-10"
"37","박승화","9,254","-","14"
"38","박정상","9,246","1","6"
"39","송태곤","9,229","-","0"
"40","신진서","9,226","8","22"
"41","한승주","9,225","-","0"
"42","안형준","9,223","-","0"
"43","김형우","9,217","-","0"
"44","김현찬","9,215","-","0"
"45","진시영","9,213","-","0"
"46","이호범","9,210","-","0"
"47","강병권","9,207","-","0"
"48","신민준","9,205","8","-21"
"49","강승민","9,192","-","0"
"50","민상연","9,188","-","0"
"51","이태현","9,184","-","0"
"52","온소진","9,183","-","0"
"52","고근태","9,183","-","0"
"54","이원도","9,182","-","0"
"55","류민형","9,171","-","0"
"56","황재연","9,163","-","0"
"57","김진휘","9,161","-","0"
"58","윤찬희","9,158","-","0"
"59","박준석","9,155","2","14"
"60","이희성","9,153","1","-3"
"61","김동호","9,146","1","0"
"62","최기훈","9,140","-","0"
"63","조인선","9,138","1","0"
"64","박진솔","9,137","1","0"
"65","조훈현","9,130","1","-6"
"66","이형진","9,126","3","-13"
"67","홍기표","9,124","-","0"
"68","이상헌","9,120","-","0"
"69","진동규","9,099","-","0"
"70","강창배","9,097","-","0"
"71","전영규","9,091","2","11"
"72","최명훈","9,087","1","0"
"73","정두호","9,086","1","0"
"74","이정우","9,077","-","0"
"75","박시열","9,076","-","0"
"76","박민규","9,072","-","0"
"77","이재웅","9,070","-","0"
"78","유창혁","9,063","-","-3"
"79","이범진","9,062","-","0"
"80","양우석","9,057","-","0"
"81","박병규","9,050","-","0"
"82","이현호","9,046","-","0"
"83","주형욱","9,034","-","0"
"84","박승현","9,032","-","0"
"84","김기원","9,032","-","0"
"86","류재형","9,018","-","0"
"87","김승준","9,008","-","0"
"88","박영롱","9,004","-","0"
"89","한종진","9,002","-","0"
"89","강지성","9,002","-","0"
"91","박경근","8,997","-","0"
"92","최홍윤","8,988","-","0"
"92","이상훈(小)","8,988","-","0"
"94","안달훈","8,974","-","0"
"94","박정근","8,974","1","0"
"96","김현섭","8,971","-","0"
"97","서건우","8,968","-","0"
"98","서봉수","8,964","-","-1"
"99","최 정","8,961","-","0"
"100","최원용","8,957","-","0"
