"rank","name","rating","rank_change","rating_change"
"1","박정환","10,029","-","-24"
"2","신진서","9,928","-","61"
"3","김지석","9,851","-","57"
"4","변상일","9,659","-","-79"
"5","이영구","9,653","6","23"
"6","이동훈","9,622","7","69"
"7","나 현","9,621","2","-10"
"8","강동윤","9,615","2","-28"
"9","이세돌","9,609","4","-66"
"10","최철한","9,603","3","-38"
"11","박영훈","9,602","3","-33"
"12","안성준","9,598","-","0"
"13","신민준","9,596","4","-35"
"14","이지현(남)","9,566","-","19"
"15","윤준상","9,536","2","26"
"16","김명훈","9,528","2","39"
"17","조한승","9,518","1","-6"
"18","홍성지","9,490","4","45"
"19","원성진","9,485","4","-42"
"20","박진솔","9,471","1","-9"
"20","이원영","9,471","-","-5"
"22","강유택","9,454","1","0"
"23","안국현","9,447","2","30"
"24","김승재","9,423","1","-15"
"25","강승민","9,416","1","-2"
"26","백홍석","9,414","1","21"
"27","김정현","9,391","1","0"
"27","윤찬희","9,391","2","12"
"29","송지훈","9,364","1","-3"
"30","박민규","9,360","1","0"
"31","허영호","9,346","5","-51"
"32","한승주","9,336","-","-13"
"33","정서준","9,332","-","-6"
"34","설현준","9,331","-","2"
"35","송태곤","9,318","1","0"
"36","이창호","9,316","1","-10"
"36","민상연","9,316","1","0"
"38","한상훈","9,310","1","4"
"39","한태희","9,306","6","14"
"40","이창석","9,302","1","-4"
"41","김세동","9,301","3","-8"
"42","박승화","9,300","-","0"
"43","목진석","9,298","-","0"
"44","류민형","9,295","3","-6"
"45","홍기표","9,291","1","-6"
"46","최 정","9,279","-","2"
"47","진시영","9,277","8","42"
"48","이태현","9,263","-","0"
"49","류수항","9,260","2","-9"
"50","안형준","9,237","1","0"
"51","박정상","9,236","3","0"
"52","한웅규","9,234","4","0"
"52","박하민","9,234","3","-17"
"54","김현찬","9,232","3","-5"
"55","이호범","9,228","2","0"
"56","안조영","9,222","6","-16"
"57","이원도","9,220","6","-17"
"58","박건호","9,217","7","35"
"59","고근태","9,213","-","0"
"60","최재영","9,211","2","-13"
"61","김주호","9,205","1","0"
"62","박창명","9,201","1","0"
"63","안정기","9,186","4","16"
"63","김기용","9,186","1","0"
"65","김형우","9,185","2","0"
"66","송규상","9,182","-","5"
"67","김성진","9,168","1","0"
"68","온소진","9,165","1","0"
"69","이춘규","9,164","5","-20"
"69","박재근","9,164","1","0"
"71","위태웅","9,163","2","8"
"71","심재익","9,163","-","0"
"71","홍민표","9,163","-","0"
"74","조인선","9,148","-","-2"
"75","이형진","9,147","-","0"
"76","조훈현","9,144","-","0"
"77","김동호","9,143","-","0"
"78","유창혁","9,125","1","0"
"79","유병용","9,124","1","-16"
"80","김진휘","9,117","-","0"
"81","홍무진","9,114","-","0"
"82","박준석","9,113","-","0"
"83","김민호","9,106","-","0"
"84","강병권","9,088","-","0"
"85","송상훈","9,086","-","0"
"85","진동규","9,086","-","0"
"87","이정우","9,079","-","0"
"88","이상헌","9,075","-","0"
"89","오유진","9,073","10","27"
"90","최기훈","9,071","1","0"
"91","황재연","9,070","1","0"
"92","김남훈","9,065","1","0"
"93","백찬희","9,061","1","0"
"94","박영롱","9,060","1","0"
"95","박시열","9,058","1","0"
"96","이범진","9,053","1","0"
"97","최명훈","9,051","1","0"
"98","이재웅","9,050","1","0"
"99","이희성","9,048","1","0"
"100","신윤호","9,035","-","0"
