"rank","name","rating","rank_change","rating_change"
"1","이세돌","9,730","-","-31"
"2","이창호","9,647","-","60"
"3","최철한","9,612","-","25"
"4","박정환","9,530","2","11"
"5","박영훈","9,519","-","-17"
"6","강동윤","9,503","2","-33"
"7","허영호","9,500","1","20"
"8","원성진","9,486","4","66"
"9","김지석","9,472","2","-14"
"10","조한승","9,452","1","10"
"11","이영구","9,442","3","34"
"12","윤준상","9,432","3","-12"
"13","목진석","9,416","3","-26"
"14","강유택","9,404","1","37"
"15","안조영","9,384","2","-34"
"16","박정상","9,350","-","18"
"17","한웅규","9,325","-","14"
"18","한상훈","9,304","1","27"
"19","김승재","9,292","1","-10"
"20","백홍석","9,288","-","19"
"21","홍민표","9,258","-","-4"
"22","김정현","9,256","-","3"
"23","김기용","9,249","1","19"
"24","진시영","9,235","5","22"
"25","홍성지","9,231","-","2"
"26","이춘규","9,231","3","-21"
"27","고근태","9,224","-","4"
"28","이희성","9,219","2","-5"
"29","김형우","9,214","1","6"
"30","안형준","9,208","2","-10"
"31","조훈현","9,194","-","-10"
"32","안성준","9,177","2","9"
"33","이원도","9,160","1","-24"
"34","강창배","9,146","1","-19"
"35","김주호","9,135","3","1"
"36","송태곤","9,134","3","-38"
"37","박승화","9,130","-","-17"
"38","윤찬희","9,126","2","-34"
"39","이태현","9,126","1","3"
"40","온소진","9,125","7","50"
"41","유창혁","9,114","2","-14"
"42","박시열","9,111","-","9"
"43","이현호","9,097","2","-14"
"44","진동규","9,097","1","-4"
"45","류동완","9,091","1","-1"
"46","박승현","9,074","1","-17"
"47","이호범","9,062","2","6"
"48","서건우","9,062","2","-19"
"49","김승준","9,055","1","3"
"50","홍기표","9,046","1","0"
"51","최기훈","9,044","4","19"
"52","최명훈","9,032","4","-27"
"53","박정근","9,029","4","13"
"54","이정우","9,027","1","-14"
"55","이재웅","9,014","3","-31"
"56","전영규","9,013","2","-13"
"57","김세동","9,009","8","41"
"58","위에량","9,003","6","33"
"59","윤성현","9,001","1","-14"
"60","백대현","8,998","4","-23"
"61","최원용","8,992","2","0"
"62","한종진","8,986","1","9"
"63","이상훈小","8,986","9","36"
"64","배준희","8,982","1","10"
"65","안달훈","8,974","5","-8"
"66","루이나이웨이","8,962","4","-13"
"67","김수용","8,959","1","-7"
"68","박지은","8,955","2","4"
"69","김성룡","8,953","-","0"
"70","염정훈","8,952","3","-5"
"71","박승철","8,947","3","-7"
"72","강지성","8,942","1","-6"
"73","유재호","8,939","2","-11"
"74","이성재","8,931","-","2"
"75","박병규","8,922","1","4"
"76","류재형","8,906","1","-12"
"77","조혜연","8,906","-","-7"
"78","윤현석","8,898","1","10"
"79","서봉수","8,886","1","-9"
"80","박진솔","8,870","12","49"
"81","윤혁","8,869","1","-3"
"82","주형욱","8,868","2","-10"
"83","이상훈大","8,867","-","-4"
"84","김진우","8,866","2","2"
"85","최규병","8,864","4","-12"
"86","안영길","8,863","1","0"
"87","옥득진","8,863","3","-7"
"88","김형환","8,862","3","-4"
"89","김영삼","8,859","1","-3"
"90","이용수","8,831","1","-2"
"91","홍장식","8,831","2","-6"
"92","김영환","8,820","2","-14"
"93","서무상","8,806","4","15"
"94","조경호","8,804","-","0"
"95","이용찬","8,801","-","0"
"96","김혜민","8,800","진 입",""
"97","김만수","8,799","1","12"
"98","권형진","8,798","5","-6"
"99","김현섭","8,792","1","15"
"100","양건","8,791","4","-5"
