"rank","name","rating","rank_change","rating_change"
"1","신진서","10,101","-","26"
"2","박정환","10,036","-","3"
"3","이동훈","9,752","-","16"
"4","신민준","9,711","1","7"
"5","김지석","9,708","1","-20"
"6","변상일","9,668","-","-9"
"7","나 현","9,610","-","-14"
"8","박영훈","9,590","-","-2"
"9","이영구","9,589","3","37"
"10","안성준","9,582","1","0"
"11","이지현(남)","9,576","1","22"
"12","원성진","9,551","6","47"
"13","강동윤","9,542","-","-7"
"14","안국현","9,527","-","0"
"15","이세돌","9,523","5","-31"
"16","최철한","9,517","-","3"
"17","조한승","9,513","3","-14"
"17","홍성지","9,513","1","-1"
"19","박진솔","9,512","-","16"
"20","김명훈","9,490","-","-3"
"21","강유택","9,467","1","0"
"22","윤준상","9,453","1","-19"
"23","최 정","9,443","-","4"
"24","이원영","9,428","-","0"
"25","김승재","9,421","1","0"
"26","백홍석","9,411","1","-13"
"27","박하민","9,408","2","21"
"28","송지훈","9,398","1","-10"
"29","김정현","9,382","1","0"
"30","강승민","9,378","2","-25"
"31","윤찬희","9,373","-","-1"
"31","한상훈","9,373","3","48"
"33","박민규","9,364","1","0"
"34","허영호","9,355","3","42"
"35","설현준","9,337","5","39"
"36","한승주","9,336","3","-10"
"37","박승화","9,331","7","45"
"38","이창호","9,330","-","21"
"39","정서준","9,310","5","-15"
"40","목진석","9,308","1","12"
"41","송태곤","9,302","7","-23"
"42","이창석","9,291","1","-5"
"43","민상연","9,288","-","-1"
"44","진시영","9,287","5","-20"
"45","한태희","9,281","-","3"
"46","류수항","9,266","1","1"
"47","이태현","9,263","1","0"
"48","박건호","9,262","5","27"
"49","홍기표","9,255","3","-18"
"50","이원도","9,249","2","-14"
"51","최재영","9,247","3","17"
"51","송규상","9,247","-","-6"
"53","김세동","9,238","5","-25"
"54","김현찬","9,236","2","10"
"55","류민형","9,234","3","-16"
"56","김기용","9,229","1","6"
"57","문유빈","9,223","1","1"
"58","박정상","9,220","2","0"
"59","고근태","9,217","2","0"
"60","안형준","9,215","2","-7"
"61","안조영","9,212","5","20"
"62","안정기","9,207","7","-21"
"63","김주호","9,201","1","0"
"64","이호범","9,199","2","-11"
"65","한웅규","9,196","2","-11"
"66","박창명","9,185","1","-6"
"67","박상진","9,181","1","-2"
"67","심재익","9,181","3","3"
"69","박재근","9,178","4","18"
"70","김형우","9,174","2","4"
"71","최광호","9,173","6","-20"
"72","김진휘","9,167","1","-9"
"73","김성진","9,164","5","-19"
"74","홍민표","9,158","-","0"
"75","홍무진","9,154","-","-1"
"76","이춘규","9,148","5","7"
"77","유병용","9,146","1","3"
"78","조훈현","9,144","1","0"
"79","이형진","9,139","4","-16"
"80","유창혁","9,138","4","5"
"80","위태웅","9,138","2","0"
"82","이호승","9,135","2","-7"
"83","온소진","9,134","5","-9"
"84","조인선","9,130","1","-6"
"85","김동호","9,117","-","0"
"86","박준석","9,109","1","27"
"87","강병권","9,088","1","0"
"88","진동규","9,080","-","0"
"89","이정우","9,078","1","2"
"90","김희수","9,067","1","-11"
"91","황재연","9,065","2","0"
"92","오유진","9,063","1","-12"
"93","김남훈","9,060","1","-14"
"94","백찬희","9,058","2","0"
"94","송상훈","9,058","3","5"
"96","이범진","9,053","1","0"
"97","최기훈","9,051","4","-14"
"98","박영롱","9,050","3","-9"
"99","이희성","9,048","-","0"
"99","이재웅","9,048","진 입",""
"99","김민호","9,048","-","0"
