"rank","name","rating","rank_change","rating_change"
"1","박정환","10,024","-","40"
"2","신진서","9,847","-","30"
"3","이세돌","9,734","1","22"
"4","김지석","9,719","1","6"
"5","변상일","9,622","2","1"
"6","나 현","9,611","2","-8"
"7","박영훈","9,606","2","-34"
"8","안성준","9,603","2","-22"
"9","최철한","9,581","-","-24"
"10","신민준","9,579","-","-5"
"11","이동훈","9,578","-","-3"
"12","이영구","9,562","-","-17"
"13","김명훈","9,559","3","60"
"14","조한승","9,533","1","16"
"15","이지현(남)","9,528","2","-17"
"16","원성진","9,523","2","-16"
"17","윤준상","9,513","-","18"
"18","강동윤","9,503","-","22"
"19","홍성지","9,496","1","30"
"20","박진솔","9,489","1","16"
"21","강유택","9,464","-","2"
"22","강승민","9,450","-","13"
"23","안국현","9,435","-","0"
"24","허영호","9,423","-","0"
"25","이원영","9,406","-","1"
"25","김승재","9,406","4","25"
"27","김정현","9,388","1","-13"
"27","한태희","9,388","5","17"
"27","백홍석","9,388","1","3"
"30","류민형","9,373","-","0"
"31","김현찬","9,365","-","-7"
"32","한승주","9,359","5","-27"
"33","송지훈","9,350","2","34"
"34","목진석","9,333","1","-5"
"35","박승화","9,324","1","-9"
"36","이창호","9,323","2","16"
"37","민상연","9,316","2","0"
"38","류수항","9,311","1","0"
"39","송태곤","9,299","2","-2"
"40","김세동","9,291","2","-16"
"41","안조영","9,290","3","-3"
"42","홍기표","9,289","2","-4"
"42","윤찬희","9,289","-","-10"
"44","박민규","9,288","4","-17"
"44","진시영","9,288","1","-6"
"46","김기용","9,273","1","2"
"47","한상훈","9,269","1","-6"
"48","이창석","9,267","3","7"
"49","최 정","9,265","4","9"
"50","이호범","9,264","2","-4"
"51","이태현","9,263","3","-5"
"51","최재영","9,263","4","29"
"53","박창명","9,259","3","-6"
"54","설현준","9,248","-","3"
"55","박정상","9,245","3","-13"
"56","한웅규","9,238","1","11"
"57","김주호","9,228","1","0"
"58","고근태","9,206","1","11"
"59","이원도","9,198","1","-13"
"60","송규상","9,197","2","18"
"61","안형준","9,192","-","6"
"62","이춘규","9,179","2","-8"
"63","홍민표","9,172","-","-6"
"64","김형우","9,171","1","-7"
"65","온소진","9,165","5","22"
"66","김동호","9,163","1","0"
"67","김성진","9,150","1","-2"
"68","조훈현","9,144","1","0"
"69","위태웅","9,138","2","-13"
"70","조인선","9,136","1","-5"
"71","박재근","9,133","4","12"
"72","김민호","9,125","4","-20"
"72","유창혁","9,125","1","0"
"74","홍무진","9,121","1","0"
"75","박준석","9,117","3","-10"
"76","안정기","9,116","1","-4"
"77","이형진","9,113","1","-6"
"78","최기훈","9,111","1","-6"
"78","송상훈","9,111","4","-11"
"80","박하민","9,109","3","15"
"81","박건호","9,106","1","-8"
"82","유병용","9,103","2","-11"
"83","박시열","9,099","1","-8"
"84","진동규","9,094","1","0"
"85","김진휘","9,089","1","6"
"86","강병권","9,088","1","-3"
"87","박영롱","9,080","1","3"
"88","이정우","9,079","1","-2"
"89","황재연","9,077","1","0"
"90","이상헌","9,075","-","1"
"90","백찬희","9,075","8","27"
"92","이희성","9,070","2","-4"
"93","신윤호","9,069","1","-2"
"94","이범진","9,061","1","-1"
"95","최명훈","9,055","1","-3"
"96","이재웅","9,051","1","-1"
"97","박경근","9,048","2","-4"
"98","유재호","9,045","1","15"
"99","김남훈","9,039","2","-11"
"100","이현호","9,028","-","-1"
