"rank","name","rating","rank_change","rating_change"
"1","최철한","9,597","1","33"
"2","이세돌","9,574","1","0"
"3","이창호","9,558","1","20"
"4","박영훈","9,521","1","-29"
"5","강동윤","9,501","-","47"
"6","김지석","9,472","3","37"
"7","조한승","9,452","4","28"
"8","윤준상","9,449","1","6"
"9","목진석","9,442","1","4"
"10","허영호","9,411","-","-15"
"11","원성진","9,404","5","-47"
"12","이영구","9,390","1","6"
"13","안조영","9,375","1","-31"
"14","김승재","9,368","-","7"
"15","백홍석","9,352","1","12"
"16","박정환","9,349","1","18"
"17","박정상","9,330","2","-15"
"18","안형준","9,314","5","58"
"19","강유택","9,292","2","25"
"20","한웅규","9,292","1","5"
"21","한상훈","9,280","3","-7"
"22","홍성지","9,257","-","-4"
"23","홍민표","9,242","3","-39"
"24","조훈현","9,231","2","23"
"25","김형우","9,221","1","-3"
"26","이희성","9,218","1","0"
"27","이원도","9,217","1","16"
"28","안성준","9,196","5","45"
"29","류동완","9,181","-","-10"
"30","김주호","9,177","-","7"
"31","이춘규","9,174","4","-31"
"32","고근태","9,145","4","13"
"33","송태곤","9,139","2","-22"
"34","윤찬희","9,127","3","0"
"35","최명훈","9,122","3","-36"
"36","박시열","9,122","2","-21"
"37","박승화","9,121","3","15"
"38","온소진","9,116","-","0"
"39","이태현","9,113","4","-28"
"40","진시영","9,095","2","0"
"41","서건우","9,076","2","-12"
"42","이현호","9,073","3","0"
"43","진동규","9,071","4","-41"
"44","유창혁","9,068","4","16"
"45","김승준","9,064","1","-12"
"46","강창배","9,060","5","-36"
"47","최원용","9,057","1","0"
"48","전영규","9,055","1","0"
"49","윤성현","9,035","-","-8"
"50","이정우","9,035","진 입",""
