"rank","name","rating","rank_change","rating_change"
"1","신진서","10,209","-","-29"
"2","박정환","10,045","-","59"
"3","변상일","9,863","-","36"
"4","김지석","9,718","4","61"
"5","신민준","9,708","-","33"
"6","이동훈","9,682","2","6"
"7","원성진","9,662","2","11"
"8","강동윤","9,646","2","-28"
"9","안성준","9,619","2","-39"
"10","이창석","9,612","1","63"
"11","김명훈","9,580","3","70"
"12","이지현(남)","9,568","2","0"
"13","최철한","9,541","1","3"
"14","이영구","9,505","1","0"
"15","안국현","9,488","2","-25"
"16","김정현","9,472","6","27"
"17","박진솔","9,469","12","45"
"17","홍성지","9,469","1","1"
"19","강승민","9,455","3","-22"
"20","이원영","9,451","3","9"
"21","허영호","9,446","17","55"
"22","심재익","9,445","5","-27"
"23","박건호","9,440","4","13"
"24","박민규","9,437","-","4"
"25","나 현","9,432","6","-28"
"25","설현준","9,432","5","-16"
"27","한승주","9,423","5","13"
"28","박영훈","9,419","3","-12"
"29","강유택","9,417","2","2"
"29","박하민","9,417","3","-11"
"31","백홍석","9,415","10","-31"
"32","최 정","9,411","4","-15"
"33","김세동","9,406","7","19"
"33","조한승","9,406","3","-17"
"35","윤준상","9,402","7","22"
"36","김승재","9,388","2","-13"
"37","박상진","9,386","2","-11"
"37","안정기","9,386","4","-17"
"39","한상훈","9,385","3","-11"
"40","윤찬희","9,382","1","-7"
"40","박승화","9,382","1","-3"
"42","문유빈","9,371","5","-24"
"43","홍기표","9,358","2","0"
"44","최재영","9,355","-","-6"
"45","김형우","9,353","1","0"
"46","송규상","9,351","3","14"
"47","송지훈","9,346","-","3"
"48","한웅규","9,333","4","31"
"49","백현우","9,329","1","-13"
"50","홍무진","9,326","-","-2"
"51","박재근","9,312","-","-10"
"52","이원도","9,297","9","-80"
"53","진시영","9,281","2","0"
"54","한상조","9,278","8","49"
"55","금지우","9,277","2","-14"
"56","박종훈","9,270","3","-21"
"57","한태희","9,269","-","0"
"57","류수항","9,269","4","20"
"59","이재성","9,265","1","-2"
"60","이창호","9,264","-","6"
"61","이태현","9,255","5","-20"
"62","류민형","9,250","9","74"
"63","고근태","9,211","5","25"
"64","백찬희","9,210","2","-19"
"65","위태웅","9,207","5","27"
"66","이호범","9,199","24","84"
"67","송태곤","9,196","2","0"
"68","신재원","9,194","20","62"
"69","민상연","9,193","3","0"
"70","박영롱","9,187","6","-10"
"71","최광호","9,186","3","23"
"72","김진휘","9,184","5","-5"
"72","조훈현","9,184","3","0"
"74","한우진","9,183","1","22"
"75","김기용","9,173","3","0"
"76","박현수","9,158","4","6"
"77","문민종","9,156","20","74"
"78","안형준","9,154","-","0"
"79","이호승","9,153","-","0"
"80","현유빈","9,149","3","3"
"81","김주호","9,147","1","0"
"82","최명훈","9,146","1","0"
"83","김상천","9,143","10","-29"
"84","이현준","9,135","2","0"
"85","김희수","9,134","8","-26"
"86","안조영","9,124","6","-28"
"87","강지훈","9,120","12","-41"
"88","이춘규","9,119","4","18"
"89","이형진","9,107","10","42"
"89","최현재","9,107","4","-32"
"91","허 진","9,095","2","0"
"91","유오성","9,095","5","-40"
"93","황재연","9,093","4","-31"
"93","조완규","9,093","3","10"
"95","최기훈","9,092","진 입",""
"96","오유진","9,087","2","7"
"97","박진영","9,083","6","-23"
"98","김현찬","9,079","4","-14"
"99","강병권","9,073","4","-12"
"100","양우석","9,069","진 입",""
