"date","winner","loser"
"2017.12.31","박현수","김진휘"
"2017.12.31","강승민","신민준"
"2017.12.31","박정환","박영훈"
"2017.12.30","송지훈","김다영"
"2017.12.30","변상일","한승주"
"2017.12.30","박정환","박영훈"
"2017.12.29","박상진","박종훈"
"2017.12.29","김영도","오병우"
"2017.12.29","윤민중","김지명"
"2017.12.29","김선기","김경은"
"2017.12.29","설현준","한태희"
"2017.12.29","이동훈","오정아"
"2017.12.26","커제","펑리야오"
"2017.12.25","펑리야오","커제"
"2017.12.24","신진서","박종훈"
"2017.12.24","박정환","박건호"
"2017.12.23","펑리야오","커제"
"2017.12.23","박정환","권주리"
"2017.12.23","강승민","안정기"
"2017.12.22","박종훈","최영찬"
"2017.12.22","변상일","김선기"
"2017.12.21","커제","펑리야오"
"2017.12.21","김채영","오유진"
"2017.12.20","커제","펑리야오"
"2017.12.20","최 정","박지은"
"2017.12.19","박정환","이영구"
"2017.12.19","조한승","강동윤"
"2017.12.19","최 정","강우혁"
"2017.12.18","루자","탕이"
"2017.12.18","왕위보","천이밍"
"2017.12.18","판양","정옌"
"2017.12.18","인취","저우홍위"
"2017.12.18","리샤오시","장쯔한"
"2017.12.18","루이나이웨이","위즈잉"
"2017.12.18","차오요우인","위안탕위"
"2017.12.18","타오란","양쯔"
"2017.12.18","루민취안","쑹룽후이"
"2017.12.18","리허","리우후이링"
"2017.12.18","신민준","송지훈"
"2017.12.17","루이나이웨이","판웨이징"
"2017.12.17","판양","탕이"
"2017.12.17","저우홍위","타오란"
"2017.12.17","리우후이링","천이밍"
"2017.12.17","양쯔","차이비한"
"2017.12.17","쑹룽후이","차오요우인"
"2017.12.17","가오싱","인취"
"2017.12.17","루민취안","위즈잉"
"2017.12.17","리허","위안탕위"
"2017.12.17","장쯔한","루자"
"2017.12.17","김다영","이창석"
"2017.12.17","박현수","정서준"
"2017.12.16","송지훈","이지현(남)"
"2017.12.16","한승주","최재영"
"2017.12.15","이동훈","박재근"
"2017.12.15","김진휘","김민호"
"2017.12.15","오유진","위즈잉"
"2017.12.15","커제","박정환"
"2017.12.15","오유진","헤이자자"
"2017.12.15","위즈잉","후지사와 리나"
"2017.12.15","커제","천스위안"
"2017.12.15","박정환","시바노 도라마루"
"2017.12.14","위즈잉","헤이자자"
"2017.12.14","위즈잉","천완위(아마)"
"2017.12.14","헤이자자","천완위(아마)"
"2017.12.14","오유진","후지사와 리나"
"2017.12.14","커제","시바노 도라마루"
"2017.12.14","박정환","천스위안"
"2017.12.14","오유진","나탈리아(아마)"
"2017.12.14","후지사와 리나","오유진"
"2017.12.14","시바노 도라마루","장밍주"
"2017.12.14","커제","장밍주"
"2017.12.14","박정환","일리야 쉭신"
"2017.12.14","천스위안","일리야 쉭신"
"2017.12.13","양쯔쉔","만자 마르쯔(아마)"
"2017.12.13","헤이자자","나탈리아(아마)"
"2017.12.13","루민취안","뉴에이코"
"2017.12.13","후지사와 리나","위즈잉"
"2017.12.13","오유진","천완위(아마)"
"2017.12.13","최 정","위진(아마)"
"2017.12.13","무쓰우라 유타","후쯔양"
"2017.12.13","시바노 도라마루","장밍주"
"2017.12.13","탕웨이싱","마테우스 수르마"
"2017.12.13","커제","일리야 쉭신"
"2017.12.13","신진서","천스위안"
"2017.12.13","박정환","왕위안쥔"
"2017.12.13","이세돌","최철한"
"2017.12.13","목진석","설현준"
"2017.12.13","김명훈","안성준"
"2017.12.12","뉴에이코","만자 마르쯔(아마)"
"2017.12.12","후지사와 리나","나탈리아(아마)"
"2017.12.12","양쯔쉔","천완위(아마)"
"2017.12.12","헤이자자","위진(아마)"
"2017.12.12","오유진","루민취안"
"2017.12.12","위즈잉","최 정"
"2017.12.12","천스위안","탕웨이싱"
"2017.12.12","커제","왕위안쥔"
"2017.12.12","신진서","무쓰우라 유타"
"2017.12.12","박정환","시바노 도라마루"
"2017.12.12","후쯔양","마테우스 수르마"
"2017.12.12","일리야 쉭신","장밍주"
"2017.12.12","최재영","정서준"
"2017.12.11","뉴에이코","양쯔쉔"
"2017.12.11","후지사와 리나","헤이자자"
"2017.12.11","루민취안","천완위(아마)"
"2017.12.11","위즈잉","위진(아마)"
"2017.12.11","오유진","만자 마르쯔(아마)"
"2017.12.11","최 정","나탈리아(아마)"
"2017.12.11","탕웨이싱","후쯔양"
"2017.12.11","커제","장밍주"
"2017.12.11","천스위안","무쓰우라 유타"
"2017.12.11","왕위안쥔","시바노 도라마루"
"2017.12.11","신진서","마테우스 수르마"
"2017.12.11","박정환","일리야 쉭신"
"2017.12.10","만자 마르쯔(아마)","천완위(아마)"
"2017.12.10","천스위안","후쯔양"
"2017.12.10","왕위안쥔","장밍주"
"2017.12.10","무쓰우라 유타","마테우스 수르마"
"2017.12.10","시바노 도라마루","일리야 쉭신"
"2017.12.10","나탈리아(아마)","위진(아마)"
"2017.12.10","루민취안","양쯔쉔"
"2017.12.10","위즈잉","헤이자자"
"2017.12.10","신진서","탕웨이싱"
"2017.12.10","커제","박정환"
"2017.12.10","오유진","뉴에이코"
"2017.12.10","최 정","후지사와 리나"
"2017.12.10","신민준","김명훈"
"2017.12.10","박건호","김채영"
"2017.12.09","오정아","조승아"
"2017.12.09","설현준","최현재"
"2017.12.08","한태희","최 정"
"2017.12.08","신진서","나 현"
"2017.12.08","강지수","김경은"
"2017.12.08","윤찬희","김기범"
"2017.12.08","온소진","한웅규"
"2017.12.08","김명훈","박하민"
"2017.12.08","신진서","조한승"
"2017.12.08","김승재","고근태"
"2017.12.08","심재익","김진휘"
"2017.12.08","박정환","송지훈"
"2017.12.08","홍성지","나 현"
"2017.12.08","이창석","최규병"
"2017.12.08","강동윤","백홍석"
"2017.12.08","이세돌","류민형"
"2017.12.08","한태희","박재근"
"2017.12.08","윤준상","송규상"
"2017.12.08","백찬희","박영훈"
"2017.12.08","박현수","김채영"
"2017.12.08","박진솔","박상진"
"2017.12.08","강태훈","안조영"
"2017.12.07","한웅규","안성준"
"2017.12.07","온소진","전영규"
"2017.12.07","박하민","류재형"
"2017.12.07","김명훈","김진훈"
"2017.12.07","조한승","김기용"
"2017.12.07","신진서","송태곤"
"2017.12.07","김승재","김성진"
"2017.12.07","고근태","박정근"
"2017.12.07","심재익","최철한"
"2017.12.07","김진휘","이현호"
"2017.12.07","송지훈","안형준"
"2017.12.07","박정환","이호승"
"2017.12.07","홍성지","이원영"
"2017.12.07","나 현","김현섭"
"2017.12.07","김기범","이동훈"
"2017.12.07","윤찬희","박영롱"
"2017.12.07","최재영","이지현(남)"
