"date","winner","loser"
"2014.12.29","이태현","나 현"
"2014.12.27","저우루이양","천야오예"
"2014.12.27","구리","김지석"
"2014.12.27","이세돌","강동윤"
"2014.12.26","나 현","서중휘"
"2014.12.26","오유진","김혜민"
"2014.12.26","오정아","박지연"
"2014.12.25","구리","장쉬"
"2014.12.25","저우루이양","스웨"
"2014.12.25","천야오예","박정환"
"2014.12.25","김지석","미위팅"
"2014.12.24","안조영","이희성"
"2014.12.24","최규병","강지성"
"2014.12.24","윤준상","조훈현"
"2014.12.24","이창호","조혜연"
"2014.12.24","나 현","김형환"
"2014.12.24","오장욱","유재호"
"2014.12.23","퉁멍청","양딩신"
"2014.12.23","강동윤","이세돌"
"2014.12.22","퉁멍청","타오신란"
"2014.12.22","양딩신","신진서"
"2014.12.22","박정환","김정현"
"2014.12.22","윤찬희","김지석"
"2014.12.22","박영훈","김동희(大)"
"2014.12.22","박영훈","김영환"
"2014.12.22","유재호","김채영"
"2014.12.22","유창혁","김신영"
"2014.12.22","이세돌","강동윤"
"2014.12.21","퉁멍청","샤천쿤"
"2014.12.21","타오신란","롄샤오"
"2014.12.21","신진서","리쉬안하오"
"2014.12.21","양딩신","리친청"
"2014.12.21","박정환","김지석"
"2014.12.20","리친청","애런 예(아마)"
"2014.12.20","리쉬안하오","알리 자바린"
"2014.12.20","샤천쿤","위정치"
"2014.12.20","퉁멍청","나 현"
"2014.12.20","신진서","황윈쑹"
"2014.12.20","타오신란","왕위안쥔"
"2014.12.20","롄샤오","미위팅"
"2014.12.20","양딩신","위즈잉"
"2014.12.20","박정환","김지석"
"2014.12.19","퉁멍청","천하오(浩)"
"2014.12.19","롄샤오","옌자이밍"
"2014.12.19","타오신란","셰얼하오"
"2014.12.19","리쉬안하오","차오쯔젠"
"2014.12.19","샤천쿤","쉬자위안"
"2014.12.19","리친청","이치리키 료"
"2014.12.19","양딩신","황재연"
"2014.12.19","신진서","커제"
"2014.12.19","최영찬","박진영"
"2014.12.19","김채영","허 진"
"2014.12.19","김신영","박지연"
"2014.12.18","박영훈","김영도"
"2014.12.18","김지석","박정환"
"2014.12.17","박종훈","설현준"
"2014.12.17","박정환","박민규"
