"date","winner","loser"
"2019.12.31","송혜령","백성호"
"2019.12.30","송혜령","강 훈(大)"
"2019.12.29","최원용","김현찬"
"2019.12.29","김창훈","이호승"
"2019.12.29","김기범","이상헌"
"2019.12.29","윤예성","현유빈"
"2019.12.29","한우진","권효진(남)"
"2019.12.29","윤찬희","이창석"
"2019.12.29","변상일","박진솔"
"2019.12.29","최철한","진시영"
"2019.12.29","김세동","이창호"
"2019.12.29","이동훈","박건호"
"2019.12.28","오장욱","한웅규"
"2019.12.28","최광호","박영롱"
"2019.12.28","강창배","민상연"
"2019.12.28","김상천","강우혁"
"2019.12.28","김기용","윤 혁"
"2019.12.28","김민석","박현수"
"2019.12.28","김명훈","최 정"
"2019.12.28","신진서","심재익"
"2019.12.28","한승주","한상훈"
"2019.12.28","이호승","이영구"
"2019.12.28","조한승","한태희"
"2019.12.27","홍성지","강동윤"
"2019.12.27","허영호","나 현"
"2019.12.27","신민준","설현준"
"2019.12.27","한웅규","안정기"
"2019.12.27","박하민","문유빈"
"2019.12.27","장수영","조대현"
"2019.12.27","서봉수","강 훈(大)"
"2019.12.27","조치훈","김종준"
"2019.12.26","이창호","다카오 신지"
"2019.12.26","박영훈","김상천"
"2019.12.26","이지현(남)","윤준상"
"2019.12.26","김지석","박승화"
"2019.12.26","강승민","박종훈"
"2019.12.26","백홍석","박상진"
"2019.12.26","장수영","조대현"
"2019.12.26","조치훈","서봉수"
"2019.12.25","한웅규","이호승"
"2019.12.25","최광호","김현찬"
"2019.12.25","강창배","이상헌"
"2019.12.25","다카오 신지","창하오"
"2019.12.25","이창호","마샤오춘"
"2019.12.25","서봉수","박영찬"
"2019.12.25","조대현","김수장"
"2019.12.24","강 훈(大)","강다정"
"2019.12.24","조대현","김수장"
"2019.12.24","서봉수","김기헌"
"2019.12.23","최 정","김채영"
"2019.12.23","강다정","김동엽"
"2019.12.23","박영찬","조대현"
"2019.12.23","김종준","김기헌"
"2019.12.23","김수장","서봉수"
"2019.12.22","안조영","박영롱"
"2019.12.22","오장욱","이현호"
"2019.12.22","이춘규","민상연"
"2019.12.22","한우진","이우람"
"2019.12.22","양유준","윤예성"
"2019.12.22","조한승","설현준"
"2019.12.22","문유빈","이원도"
"2019.12.22","최 정","송규상"
"2019.12.22","나 현","김현찬"
"2019.12.22","신진서","홍성지"
"2019.12.21","홍기표","김상천"
"2019.12.21","박현수","정훈현"
"2019.12.21","전용수","윤 혁"
"2019.12.21","최원용","박준석"
"2019.12.21","김세동","김기범"
"2019.12.21","김창훈","유재호"
"2019.12.21","진시영","박하민"
"2019.12.21","신민준","이춘규"
"2019.12.21","허영호","박진솔"
"2019.12.21","강동윤","윤찬희"
"2019.12.21","이동훈","안정기"
"2019.12.20","윤준상","류수항"
"2019.12.20","최재영","강승민"
"2019.12.20","원성진","정서준"
"2019.12.20","박정환","김지석"
"2019.12.20","백홍석","송지훈"
"2019.12.20","이동훈","이주형"
"2019.12.20","이창석","김채영"
"2019.12.19","최철한","이영구"
"2019.12.19","심재익","변상일"
"2019.12.19","한승주","이창석"
"2019.12.19","김명훈","김세동"
"2019.12.19","한태희","박건호"
"2019.12.19","김종준","정대상"
"2019.12.19","조대현","김일환"
"2019.12.19","루이나이웨이","서봉수"
"2019.12.18","한웅규","정훈현"
"2019.12.18","최광호","전용수"
"2019.12.18","강창배","홍기표"
"2019.12.18","이동훈","김은선"
"2019.12.18","강승민","윤찬희"
"2019.12.18","박정환","강우혁"
"2019.12.18","김명훈","박민규"
"2019.12.18","박하민","정서준"
"2019.12.18","조치훈","조대현"
"2019.12.18","강 훈(大)","김종준"
"2019.12.18","서봉수","장수영"
"2019.12.18","김종수","박영찬"
"2019.12.18","김수장","한철균"
"2019.12.18","백성호","김기헌"
"2019.12.18","강만우","황원준"
"2019.12.18","박승문","김동엽"
"2019.12.18","안관욱","서능욱"
"2019.12.18","루이나이웨이","김동면"
"2019.12.18","차민수","김철중"
"2019.12.18","김일환","오규철"
"2019.12.17","박정환","류동완"
"2019.12.17","윤찬희","온소진"
"2019.12.17","최 정","김채영"
"2019.12.17","강다정","김기헌"
"2019.12.17","신진서","신민준"
"2019.12.17","신진서","신민준"
"2019.12.16","신민준","김세동"
"2019.12.16","최철한","김대희"
"2019.12.16","김형우","박건호"
"2019.12.16","이동훈","진시영"
"2019.12.16","윤찬희","박하민"
"2019.12.16","박정환","조완규"
"2019.12.16","권주리","김혜민"
"2019.12.16","김기헌","김미리"
"2019.12.15","이호승","박현수"
"2019.12.15","이상헌","윤 혁"
"2019.12.15","김현찬","김상천"
"2019.12.15","오병우","이우람"
"2019.12.15","권효진(남)","윤예성"
"2019.12.15","박종훈","한승주"
"2019.12.15","이창석","백찬희"
"2019.12.15","박정환","나 현"
"2019.12.15","홍성지","송지훈"
"2019.12.15","설현준","홍기표"
"2019.12.15","최재영","문유빈"
"2019.12.15","원성진","송규상"
"2019.12.14","박영롱","유재호"
"2019.12.14","오장욱","박준석"
"2019.12.14","김세동","민상연"
"2019.12.14","강우혁","안조영"
"2019.12.14","이현호","김민석"
