"date","winner","loser"
"2021.07.30","유병호","양민석"
"2021.07.30","이도현","김제나"
"2021.07.30","이태현","강지훈"
"2021.07.30","한상조","이원영"
"2021.07.30","정두호","최은규"
"2021.07.30","김상인","차민수"
"2021.07.30","현유빈","이승준"
"2021.07.30","최원용","최기훈"
"2021.07.30","최현재","차민수"
"2021.07.30","박동주","윤종섭"
"2021.07.30","유병호","양민석"
"2021.07.30","이도현","김제나"
"2021.07.30","이태현","강지훈"
"2021.07.30","한상조","이원영"
"2021.07.30","정두호","최은규"
"2021.07.30","김상인","차민수"
"2021.07.30","현유빈","이승준"
"2021.07.30","최원용","최기훈"
"2021.07.30","최현재","차민수"
"2021.07.30","박동주","윤종섭"
"2021.07.30","권효진(여)","박정수"
"2021.07.30","김민호","이성재"
"2021.07.30","변상일","신진서"
"2021.07.29","김제나","강 훈(大)"
"2021.07.29","최민서","유주현"
"2021.07.29","곽원근","이현준"
"2021.07.29","김제나","강지수"
"2021.07.29","최현재","김종수"
"2021.07.29","강 훈(大)","유주현"
"2021.07.29","위태웅","윤종섭"
"2021.07.29","박지연","이유진"
"2021.07.29","조승아","정유진"
"2021.07.29","이민진","허서현"
"2021.07.29","현유빈","김경은"
"2021.07.29","권효진(남)","박신영"
"2021.07.29","신재원","문민종"
"2021.07.29","금지우","한우진"
"2021.07.29","선승민","박동주"
"2021.07.29","김범서","김세현"
"2021.07.29","최광호","양유준"
"2021.07.29","김상천","심준섭"
"2021.07.29","신진서","변상일"
"2021.07.28","최 정","김다영"
"2021.07.28","조완규","백현우"
"2021.07.28","김준석","김노경"
"2021.07.28","김창훈","선승민"
"2021.07.28","이태현","백찬희"
"2021.07.28","원제훈","김강근"
"2021.07.28","김기범","정유진"
"2021.07.28","박동주","박지영"
"2021.07.28","박지영","김지우"
"2021.07.28","문민종","강우혁"
"2021.07.28","조완규","이재성"
"2021.07.28","이도현","차주혜"
"2021.07.27","심준섭","서중휘"
"2021.07.27","권효진(여)","서중휘"
"2021.07.27","정우진","서중휘"
"2021.07.27","박정수","서중휘"
"2021.07.27","김영광","서중휘"
"2021.07.27","김강민","서중휘"
"2021.07.27","정두호","서중휘"
"2021.07.27","이성재","박영찬"
"2021.07.27","차주혜","박영찬"
"2021.07.27","박지현","박영찬"
"2021.07.27","박주민","박영찬"
"2021.07.27","김준석","박영찬"
"2021.07.27","김민호","박영찬"
"2021.07.27","김수장","박영찬"
"2021.07.27","이도현","박영찬"
"2021.07.27","김제나","박영찬"
"2021.07.27","박소율","박영찬"
"2021.07.27","송지훈","허 진"
"2021.07.27","최현재","최기훈"
"2021.07.27","백찬희","최홍윤"
"2021.07.27","한우진","박진영"
"2021.07.27","안국현","선승민"
"2021.07.27","류민형","김상천"
"2021.07.27","유주현","박영찬"
"2021.07.27","문지환","정유진"
"2021.07.27","최기훈","차민수"
"2021.07.27","위태웅","김지우"
"2021.07.27","허 진","서중휘"
"2021.07.27","김윤영","유창혁"
"2021.07.26","이현준","선승민"
"2021.07.26","강지수","박영찬"
"2021.07.26","조남균","윤종섭"
"2021.07.26","오병우","정두호"
"2021.07.26","김윤영","김수장"
"2021.07.26","문민종","오유진"
"2021.07.25","변상일","이동훈"
"2021.07.25","신민준","원성진"
"2021.07.25","오유진","강지수"
"2021.07.25","이도현","박태희"
"2021.07.25","김다영","장혜령"
"2021.07.24","박정환","김창훈"
"2021.07.24","김혜민","정유진"
"2021.07.24","허서현","이영주"
"2021.07.24","박지연","김노경"
"2021.07.23","박지현","김제나"
"2021.07.23","오승민","조경호"
"2021.07.23","이현욱","박영찬"
"2021.07.23","이현욱","김제나"
"2021.07.23","김지우","박동주"
"2021.07.23","최은규","서중휘"
"2021.07.23","전용수","오승민"
"2021.07.23","최민서","박영찬"
"2021.07.23","김효영","유병호"
"2021.07.23","김수장","차주혜"
"2021.07.23","조혜연","이민진"
"2021.07.23","김은선","이유진"
"2021.07.23","조승아","김채영"
"2021.07.23","원성진","최 정"
"2021.07.23","신진서","변상일"
"2021.07.22","김미리","김경은"
"2021.07.22","최 정","박지영"
"2021.07.22","강다정","유주현"
"2021.07.22","홍무진","정유진"
"2021.07.22","백찬희","이원도"
"2021.07.22","이도현","강지수"
"2021.07.22","김일환","차민수"
"2021.07.22","이형진","김종수"
"2021.07.22","조경호","김지우"
"2021.07.22","조경호","윤종섭"
"2021.07.22","김종수","차민수"
"2021.07.22","김지우","전용수"
"2021.07.22","박신영","김선기"
"2021.07.22","문민종","오병우"
"2021.07.22","현유빈","문지환"
"2021.07.22","권효진(남)","김영광"
"2021.07.22","신재원","김민서"
"2021.07.22","금지우","최민서"
"2021.07.22","한우진","김제나"
"2021.07.22","선승민","허서현"
"2021.07.22","박동주","강지훈"
"2021.07.22","김범서","백현우"
"2021.07.22","김세현","최진원"
"2021.07.22","최광호","곽원근"
"2021.07.22","양유준","오승민"
"2021.07.22","심준섭","허재원"
"2021.07.22","김상천","이재성"
"2021.07.22","최 정","박민규"
"2021.07.22","변상일","신진서"
"2021.07.21","원제훈","양민석"
"2021.07.21","오승민","박동주"
"2021.07.21","강지훈","박진영"
"2021.07.21","원제훈","오승민"
"2021.07.21","김지우","양유준"
"2021.07.21","홍무진","서중휘"
"2021.07.21","김민호","김제나"
"2021.07.21","김효영","윤종섭"
"2021.07.21","김경은","김경환"
"2021.07.21","조승아","조혜연"
"2021.07.21","신민준","한웅규"
"2021.07.21","이동훈","송지훈"
"2021.07.21","변상일","김승재"
