"date","winner","loser"
"2018.12.29","이창석","이동훈"
"2018.12.29","변상일","강승민"
"2018.12.27","김준석","김진휘"
"2018.12.27","송규상","문종호"
"2018.12.27","김세동","박준석"
"2018.12.27","박진솔","조한승"
"2018.12.27","최재영","송지훈"
"2018.12.27","이영구","강 훈(小)"
"2018.12.27","현유빈","최명훈"
"2018.12.27","진시영","김채영"
"2018.12.27","홍무진","류민형"
"2018.12.27","윤찬희","신윤호"
"2018.12.27","심재익","이성재"
"2018.12.27","설현준","김대용"
"2018.12.27","김성진","장건현"
"2018.12.27","안정기","박상진"
"2018.12.27","박재근","이형진"
"2018.12.27","김명훈","정서준"
"2018.12.27","원성진","안조영"
"2018.12.27","이동훈","유오성"
"2018.12.27","홍성지","민상연"
"2018.12.27","양우석","홍민표"
"2018.12.27","박현수","허서현"
"2018.12.27","박하민","강다정"
"2018.12.27","문민종","조인선"
"2018.12.27","윤준상","홍기표"
"2018.12.27","백찬희","조경호"
"2018.12.27","한웅규","박민규"
"2018.12.27","박시열","김경은"
"2018.12.27","이창석","최홍윤"
"2018.12.27","윤예성","박진영"
"2018.12.27","한승주","이주형"
"2018.12.27","백홍석","이원영"
"2018.12.27","박영훈","강승민"
"2018.12.27","김희수","유재호"
"2018.12.27","나 현","조승아"
"2018.12.26","천야오예","신진서"
"2018.12.26","김진휘","허 진"
"2018.12.26","김준석","이승준"
"2018.12.26","송규상","박종훈"
"2018.12.26","문종호","안국현"
"2018.12.26","김세동","이영신"
"2018.12.26","박준석","김종수"
"2018.12.26","박진솔","유창주"
"2018.12.26","조한승","차수권"
"2018.12.26","최재영","강창배"
"2018.12.26","송지훈","안성준"
"2018.12.26","이영구","김기용"
"2018.12.26","강 훈(小)","차부일"
"2018.12.26","현유빈","최규병"
"2018.12.26","최명훈","김기범"
"2018.12.26","김채영","강유택"
"2018.12.26","진시영","이동휘"
"2018.12.26","홍무진","박승화"
"2018.12.26","류민형","박정수"
"2018.12.26","윤찬희","강지범"
"2018.12.26","신윤호","김지명"
"2018.12.26","이성재","이민진"
"2018.12.26","심재익","김승준"
"2018.12.26","설현준","심준섭"
"2018.12.26","김대용","강지수"
"2018.12.26","장건현","이유진"
"2018.12.26","김성진","진동규"
"2018.12.26","박상진","최현재"
"2018.12.26","안정기","김동호"
"2018.12.26","박재근","박대영"
"2018.12.26","이형진","김형환"
"2018.12.26","정서준","마리야"
"2018.12.26","김명훈","이호범"
"2018.12.26","원성진","박건호"
"2018.12.26","안조영","김민정"
"2018.12.26","유오성","이용수"
"2018.12.26","이동훈","윤현빈"
"2018.12.26","홍성지","정연우"
"2018.12.26","민상연","장혜령"
"2018.12.26","홍민표","오정아"
"2018.12.26","양우석","이호승"
"2018.12.26","박현수","이현준"
"2018.12.26","허서현","서능욱"
"2018.12.26","강다정","도은교"
"2018.12.26","박하민","문지환"
"2018.12.26","조인선","황진형"
"2018.12.26","문민종","정두호"
"2018.12.26","홍기표","박지영"
"2018.12.26","윤준상","한상훈"
"2018.12.26","조경호","이상헌"
