"date","winner","loser"
"2011.12.27","김정현","안성준"
"2011.12.27","서능욱","조훈현"
"2011.12.26","이영구","위빈"
"2011.12.26","추쥔","최철한"
"2011.12.26","조한승","왕시"
"2011.12.26","목진석","김승준"
"2011.12.24","최철한","정수현"
"2011.12.22","이세돌","이창호"
"2011.12.22","이슬아","이민진"
"2011.12.22","박지연","김윤영"
"2011.12.22","김혜민","김은선"
"2011.12.22","조훈현","박영찬"
"2011.12.21","백홍석","이원영"
"2011.12.21","김정현","최철한"
"2011.12.20","이슬아","박소현"
"2011.12.20","이민진","김미리"
"2011.12.20","김윤영","김혜림"
"2011.12.20","박지연","권효진(여)"
"2011.12.20","김은선","문도원"
"2011.12.20","김혜민","김나현"
"2011.12.20","진시영","최기훈"
"2011.12.20","안성준","주형욱"
"2011.12.20","강동윤","안국현"
"2011.12.19","한종진","박승화"
"2011.12.19","김기용","조훈현"
"2011.12.19","김세동","김승준"
"2011.12.19","이세돌","이창호"
"2011.12.18","이원영","김지석"
"2011.12.17","최철한","강유택"
"2011.12.17","박정상","안성준"
"2011.12.17","안국현","나 현"
"2011.12.16","서능욱","서봉수"
"2011.12.15","강유택","이동훈"
"2011.12.15","김미리","박지은"
"2011.12.15","홍기표","이희성"
"2011.12.14","이세돌","야마시타 게이고"
"2011.12.14","김혜민","무카이 치아키"
"2011.12.14","이영구","오가타 마사키"
"2011.12.14","최철한","야마시로 히로시"
"2011.12.14","사카이 히데유키","박정환"
"2011.12.14","박영훈","조한승"
"2011.12.14","원성진","송태곤"
"2011.12.13","박진솔","조한승"
"2011.12.13","김혜민","황록잉(아마)"
"2011.12.13","이영구","시마라(아마)"
"2011.12.13","박정환","코넬(아마)"
"2011.12.13","최철한","CRISTIAN POP(아마)"
"2011.12.13","이세돌","카타린 타라누"
"2011.12.13","박지은","김미리"
"2011.12.13","박영찬","장수영"
"2011.12.12","백홍석","김승준"
"2011.12.12","원성진","김기용"
"2011.12.12","강동윤","류민형"
"2011.12.12","강유택","이동훈"
"2011.12.12","홍기표","이창호"
"2011.12.11","리허","김혜민"
"2011.12.11","이영구","파오원야오"
"2011.12.11","셰허","박정환"
"2011.12.11","구리","최철한"
"2011.12.11","이세돌","쿵제"
"2011.12.10","김혜민","펑윈(豊雲)"
"2011.12.10","이영구","황커(아마)"
"2011.12.10","박정환","리지위엔(아마)"
"2011.12.10","최철한","리지에(아마)"
"2011.12.10","이세돌","장밍주"
"2011.12.09","김승준","박진솔"
"2011.12.09","원성진","김형환"
"2011.12.09","헤이자자","김혜민"
"2011.12.09","이영구","왕위안쥔"
"2011.12.09","박정환","저우쥔쉰"
"2011.12.09","최철한","샤오정하오"
"2011.12.09","천스위안","이세돌"
"2011.12.08","김미리","조혜연"
"2011.12.08","박영훈","백홍석"
"2011.12.07","최철한","김기원"
"2011.12.07","이세돌","이창호"
"2011.12.07","원성진","구리"
"2011.12.06","김지석","손근기"
"2011.12.06","최철한","김대희"
"2011.12.06","구리","원성진"
"2011.12.06","이창호","이세돌"
"2011.12.05","박정환","허 진"
"2011.12.05","서능욱","김종수"
"2011.12.05","최철한","박승철"
"2011.12.05","한종진","홍민표"
"2011.12.05","김형우","한태희"
"2011.12.05","김승재","이현욱"
"2011.12.05","허영호","허 진"
"2011.12.05","박지훈(小)","최원용"
"2011.12.05","김정현","최명훈"
"2011.12.05","한상훈","이원도"
"2011.12.05","김진훈","이호범"
"2011.12.05","안국현","김윤영"
"2011.12.05","주형욱","이재웅"
"2011.12.05","김지석","박승현"
"2011.12.05","박정상","박지연"
"2011.12.05","이세돌","유창혁"
"2011.12.05","강동윤","윤준상"
"2011.12.05","원성진","구리"
"2011.12.03","이영구","왕하오양"
